dataset,classifier,feature_set,num_features,num_train,num_test,sequence_mode,shots_per_class,repeats,test_size,random_state,c,gamma,knn_neighbors,knn_weights,rf_estimators,rf_max_depth,mlp_hidden_sizes,mlp_alpha,mlp_learning_rate,mlp_max_iter,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,accuracy_mean,accuracy_std,cohen_kappa_mean,cohen_kappa_std,weighted_f1_mean,weighted_f1_std
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,optimized_action,68,9,8,yes,3,2,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.833333,0.000000,0.841270,0.000000,0.916667,0.000000,0.875000,0.000000,0.804878,0.000000,0.863095,0.000000
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,optimized_action,68,9,8,yes,3,2,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.888889,0.000000,0.876190,0.009524,0.902778,0.013889,0.875000,0.000000,0.811739,0.002215,0.873214,0.001786
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,optimized_action,68,9,8,yes,3,2,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.833333,0.055556,0.811111,0.055556,0.861111,0.027778,0.812500,0.062500,0.725159,0.088795,0.820833,0.054167
