feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.575000,0.208814,0.541780,0.236933,0.606389,0.292441,0.593750,0.201071,0.368823,0.313114
corrected,0.875000,0.100730,0.867857,0.105937,0.898611,0.091403,0.868750,0.108073,0.803019,0.161441
optimized_action,0.894444,0.115068,0.883373,0.131351,0.905833,0.119380,0.893750,0.113709,0.839496,0.170501
optimized_full,0.761111,0.204954,0.747976,0.205889,0.812222,0.182655,0.762500,0.208791,0.637073,0.322615
