feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.616667,0.195552,0.593360,0.209260,0.639008,0.217414,0.625000,0.181142,0.418845,0.286267
corrected,0.766667,0.174448,0.751706,0.179610,0.791944,0.182789,0.762500,0.176334,0.640983,0.268464
optimized_action,0.811111,0.164242,0.801270,0.169490,0.836667,0.167888,0.812500,0.170018,0.714756,0.257648
optimized_full,0.680556,0.205537,0.665278,0.208349,0.706667,0.218804,0.687500,0.195656,0.521522,0.303831
