feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.638889,0.159571,0.614484,0.155160,0.675556,0.174372,0.631250,0.150390,0.440129,0.228678
corrected,0.797222,0.116898,0.780754,0.128905,0.830000,0.132816,0.806250,0.108073,0.702487,0.167441
optimized_action,0.838889,0.125339,0.828968,0.139004,0.869722,0.142524,0.850000,0.115920,0.767422,0.179919
optimized_full,0.708333,0.189113,0.672341,0.207339,0.714365,0.210303,0.712500,0.185826,0.567505,0.275499
raw_pca17,0.702778,0.158382,0.673849,0.180235,0.764563,0.172293,0.718750,0.147240,0.566996,0.230488
