feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.572222,0.149175,0.539197,0.174469,0.615258,0.222041,0.587500,0.137500,0.359547,0.218740
corrected,0.791667,0.128950,0.767103,0.145119,0.803056,0.148848,0.787500,0.125623,0.682179,0.186303
optimized_action,0.808333,0.122317,0.780198,0.144047,0.830000,0.132990,0.806250,0.127934,0.711363,0.183956
optimized_full,0.641667,0.208962,0.611988,0.231432,0.654861,0.256366,0.637500,0.205015,0.452833,0.310524
