repeat,index,actuator_name,semantic_role,finger_group,type,included_in_flex11,oa_discriminative_f_raw,oa_discriminative_scaled,oa_within_class_variability_raw,oa_within_class_penalty_scaled,oa_instability_raw,oa_instability_penalty_scaled,oa_redundancy_max_abs_correlation,refinement_sensitivity_penalty,utility_score,utility_rank
0,10,right_i-abd_actuator,index abduction,index,abduction,no,31.207355451126844,0.38402849049639287,0.22929413374293062,0.5752681047186197,0.7497547830501452,0.9260902111182406,0.38327735051285367,0.3409920622061726,-0.053646989814764116,11
0,11,right_i-mcp_actuator,index MCP flexion,index,flexion,yes,83.59668219998134,0.5557844768824124,0.24247777358606282,0.6185864560443032,0.48675154001062765,0.2995095710892563,0.7681085192079871,0.16142917709457458,0.20180529420810106,6
0,12,right_i-pip_actuator,index PIP flexion,index,flexion,yes,579.7839768100457,0.8984220084239399,0.07758789349532767,0.07679694716742164,0.4217189033195309,0.14457539366332547,0.7681085192079871,0.03572485370178851,0.7297326869629531,2
0,13,right_t-cmc_actuator,thumb opposition / CMC,thumb,opposition,yes,22.167069092650408,0.3254313743310162,0.29770674564624117,0.8000559169462905,0.6578334770802231,0.7070962927874321,0.7039458677236963,0.3695197149083872,-0.17702170085785537,14
0,14,right_t-abd_actuator,thumb abduction,thumb,abduction,no,20.87405230642689,0.3152169504744426,0.3030964712889504,0.8177652924843023,0.6172896280307487,0.610504362615525,0.7039458677236963,0.43943150797155783,-0.1828318515240261,15
0,15,right_t-mcp_actuator,thumb MCP flexion,thumb,flexion,yes,140.1208492800991,0.6467974459125865,0.17552726238238522,0.3986027641152631,0.49133556728850636,0.31043058754703434,0.6196453483841117,0.14612833274112644,0.3701945852055782,4
0,16,right_t-pip_actuator,thumb IP flexion,thumb,flexion,yes,89.7630384702863,0.5682979374136019,0.22278317904914438,0.5538746332458712,0.6781951140772395,0.7556059894519384,0.6196453483841116,0.16993899243796365,0.1602704300884351,7
1,0,right_wrist_actuator,wrist,wrist,wrist,no,1.7195543498774504,0.0,0.2516166359545733,0.6315751807474144,0.47178358718650215,0.27231768185023786,0.4033260853874209,0.7693949186514843,-0.388265482162737,17
1,1,right_p-abd_actuator,little abduction,little,abduction,no,43.29634763167063,0.4605975199707796,0.22800337491518308,0.5581275758267863,0.6413283192257146,0.6563149335047225,0.6742752047934187,0.24873078336990276,0.05135174108864029,10
1,2,right_p-mcp_actuator,little MCP flexion,little,flexion,yes,16.54027710498048,0.30768272736886304,0.2996167515678773,0.7808766059859449,0.6299800457437474,0.630612537590168,0.5576792500932838,0.2170714569603394,-0.12987153770370025,14
1,3,right_p-pip_actuator,little PIP flexion,little,flexion,yes,134.23757051252906,0.6448294475808162,0.23726580877361816,0.5869378101058614,0.4641376432080469,0.255000591317741,0.5576792500932838,0.11074400528329975,0.3468313884843151,5
1,4,right_r-abd_actuator,ring abduction,ring,abduction,no,48.567562796249476,0.47915628525273635,0.23040111451657672,0.5655855982766264,0.7930741774415211,1.0,0.6742752047934187,0.16078515802790536,0.01250083126038111,11
1,5,right_r-mcp_actuator,ring MCP flexion,ring,flexion,yes,52.27468914270208,0.4910614065071928,0.24250033539085805,0.6032194851480425,0.5995853501738238,0.5617724183877263,0.8528774965864868,0.15947635228738946,0.07604897421155549,8
1,6,right_r-pip_actuator,ring PIP flexion,ring,flexion,yes,1162.002005985701,1.0,0.048566453105108764,0.0,0.3515482776890757,0.0,0.9453595187370263,0.0,0.858196072189446,1
1,7,right_m-abd_actuator,middle abduction,middle,abduction,no,18.593747747503397,0.3259569769909067,0.37006449330544133,1.0,0.5517055086596536,0.4533306677655875,0.36870717236066064,1.0,-0.22001523241630988,16
1,8,right_m-mcp_actuator,middle MCP flexion,middle,flexion,yes,33.087179702099,0.4173541632601332,0.3021426031314121,0.7887331128621948,0.5614142696608025,0.4753197764602132,0.8528774965864867,0.2157712848472853,-0.035190387462523946,12
1,9,right_m-pip_actuator,middle PIP flexion,middle,flexion,yes,574.1790248515384,0.8837826643881945,0.08128143030914374,0.10175793663827483,0.3844871658854534,0.07460239187518979,0.9453595187370263,0.03573300266211269,0.6962588236437169,3
1,10,right_i-abd_actuator,index abduction,index,abduction,no,41.75462603920518,0.4547501908381283,0.21554297936719782,0.5193702772123969,0.7477592180839066,0.8973673812045415,0.37268890080951667,0.25184507607637174,0.05175404876123748,9
1,11,right_i-mcp_actuator,index MCP flexion,index,flexion,yes,85.19442866164673,0.5704805252281361,0.24006965240405365,0.5956589943118005,0.4868150673418111,0.3063620723689749,0.762983772731298,0.12125963572656345,0.22765685090771176,6
1,12,right_i-pip_actuator,index PIP flexion,index,flexion,yes,570.1799750380023,0.8826310217515673,0.08258223574264005,0.10580401241741721,0.42882216358225966,0.17501552216191588,0.762983772731298,0.03317100797100345,0.7017536971094845,2
1,13,right_t-cmc_actuator,thumb opposition / CMC,thumb,opposition,yes,23.828434421821438,0.3650404395487912,0.28527830448831537,0.7362777428929463,0.6640529091547317,0.7077832390826246,0.6806935764033746,0.303986096686111,-0.10828759495439319,13
1,14,right_t-abd_actuator,thumb abduction,thumb,abduction,no,20.25557671061473,0.33939455535313806,0.30225944896919815,0.7890965546975268,0.6413204566620884,0.6562971257982421,0.6806935764033747,0.3839500818566974,-0.14883555721990288,15
1,15,right_t-mcp_actuator,thumb MCP flexion,thumb,flexion,yes,155.15995739671098,0.6685734070894054,0.1661810414911313,0.3658329870774151,0.5021487249848338,0.3410908564598287,0.6329991155482181,0.1139069378171831,0.3968610810232757,4
1,16,right_t-pip_actuator,thumb IP flexion,thumb,flexion,yes,102.19370488674247,0.6001922514913743,0.2021120659945875,0.47759424223488595,0.6861465399129434,0.7578225023978664,0.6329991155482181,0.1236397391455215,0.2157333622490186,7
