feature_set,num_sequences,num_frames,velocity_mean,velocity_std,acceleration_mean,acceleration_std
corrected,571,26260,0.4590213502917351,0.20759523794333917,0.7099963694753437,0.34761203043446826
full,571,26260,0.24696359297602838,0.10801747418106059,0.27032535366542887,0.12917777436535724
no_palm,571,26260,0.23906736476963625,0.10193643848614563,0.26461905342984127,0.1243386121527273
no_acceleration,571,26260,0.2684552782387683,0.1189885838683329,0.371807450802401,0.180674807500373
no_temporal,571,26260,0.32384368192991336,0.1461910043445466,0.49755532616206544,0.24248752610933982
l2,571,26260,0.25601417372276325,0.12383226943559567,0.2926143848299722,0.16256697534955308
