classifier,comparison,mean_accuracy_difference,median_accuracy_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
svm,optimized_action_minus_raw,0.3391304347826086,0.34347826086956523,20,0,0,8.844915021211901e-05
svm,optimized_action_minus_corrected,-0.021304347826086985,-0.017391304347826098,5,0,15,0.004476301032436539
knn,optimized_action_minus_raw,0.3260869565217392,0.33478260869565213,20,0,0,8.832385863081277e-05
knn,optimized_action_minus_corrected,-0.022608695652173917,-0.017391304347826098,3,2,15,0.0039664318788796135
rf,optimized_action_minus_raw,0.33652173913043476,0.33478260869565213,20,0,0,8.819870204194453e-05
rf,optimized_action_minus_corrected,-0.015217391304347839,-0.008695652173913104,5,2,13,0.005796304163738335
mlp,optimized_action_minus_raw,0.3408695652173913,0.33913043478260874,20,0,0,8.844915021211901e-05
mlp,optimized_action_minus_corrected,-0.014782608695652167,-0.013043478260869601,5,2,13,0.10610143470812462
