classifier,feature_set,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,kappa_mean,kappa_std,repeats
rf,corrected,0.782608695652174,0.061117507446280264,0.7803250324226986,0.06765712614849555,0.7392675039536636,0.07325214372758193,20
rf,full,0.7673913043478262,0.06263737265950896,0.7631524186707563,0.06664162621645413,0.7211444027565932,0.07504243154598923,20
rf,l2,0.7334782608695652,0.06326199012902665,0.7291859221216092,0.0709282584748513,0.6802221247477166,0.0755795320458536,20
rf,no_acceleration,0.7730434782608696,0.06055196646453454,0.7690370972457926,0.06511307121640134,0.7279329569311968,0.07246810603222108,20
rf,no_palm,0.7717391304347826,0.050769131624422335,0.7689232101958294,0.054078326878694405,0.7262165610856035,0.060909654952226534,20
rf,no_temporal,0.7608695652173912,0.06932022075607577,0.7569980841383338,0.07487948734689434,0.7133595778855459,0.08295911731569502,20
svm,corrected,0.7491304347826087,0.06391600111464822,0.7542782295387817,0.06316688724161564,0.6987956662109837,0.0769264465011421,20
svm,full,0.7278260869565216,0.0536106526671247,0.7320344623604123,0.05194983249486906,0.6732425744205361,0.0645467857258046,20
svm,l2,0.6547826086956523,0.0824070766135557,0.6581902193875173,0.08410045609626732,0.5858474559565623,0.09854727025947642,20
svm,no_acceleration,0.7213043478260869,0.05678700295933894,0.7261282837700016,0.05503029358405027,0.6653980107224878,0.06844982315706888,20
svm,no_palm,0.7378260869565217,0.05867310355934347,0.7423026027696601,0.05955169716600234,0.68526736140217,0.07065124732014487,20
svm,no_temporal,0.7095652173913043,0.054332171658481095,0.7152915606709807,0.05347422491550625,0.6513554002488394,0.06547083783729342,20
