shot,classifier,feature_set,true_label,predicted_label,count
1,knn,optimized_full,three_finger_bent,orchid_palm,54
1,knn,optimized_full,three_finger_bent,prayer_beads,16
1,knn,optimized_full,three_finger_bent,three_finger_bent,118
1,knn,raw,deer_horn,deer_horn,149
1,knn,raw,deer_horn,flower_pinch,43
1,knn,raw,deer_horn,orchid_finger,45
1,knn,raw,deer_horn,orchid_palm,68
1,knn,raw,deer_horn,prayer_beads,25
1,knn,raw,deer_horn,three_finger_bent,50
1,knn,raw,flower_pinch,deer_horn,62
1,knn,raw,flower_pinch,flower_pinch,77
1,knn,raw,flower_pinch,orchid_finger,35
1,knn,raw,flower_pinch,orchid_palm,84
1,knn,raw,flower_pinch,prayer_beads,56
1,knn,raw,flower_pinch,three_finger_bent,66
1,knn,raw,orchid_finger,deer_horn,78
1,knn,raw,orchid_finger,flower_pinch,42
1,knn,raw,orchid_finger,orchid_finger,79
1,knn,raw,orchid_finger,orchid_palm,70
1,knn,raw,orchid_finger,prayer_beads,55
1,knn,raw,orchid_finger,three_finger_bent,43
1,knn,raw,orchid_palm,deer_horn,73
1,knn,raw,orchid_palm,flower_pinch,70
1,knn,raw,orchid_palm,orchid_finger,49
1,knn,raw,orchid_palm,orchid_palm,144
1,knn,raw,orchid_palm,prayer_beads,51
1,knn,raw,orchid_palm,three_finger_bent,53
1,knn,raw,prayer_beads,deer_horn,58
1,knn,raw,prayer_beads,flower_pinch,48
1,knn,raw,prayer_beads,orchid_finger,43
1,knn,raw,prayer_beads,orchid_palm,72
1,knn,raw,prayer_beads,prayer_beads,91
1,knn,raw,prayer_beads,three_finger_bent,61
1,knn,raw,three_finger_bent,deer_horn,61
1,knn,raw,three_finger_bent,flower_pinch,65
1,knn,raw,three_finger_bent,orchid_finger,32
1,knn,raw,three_finger_bent,orchid_palm,50
1,knn,raw,three_finger_bent,prayer_beads,61
1,knn,raw,three_finger_bent,three_finger_bent,91
1,knn,raw_pca17,deer_horn,deer_horn,229
1,knn,raw_pca17,deer_horn,flower_pinch,52
1,knn,raw_pca17,deer_horn,orchid_finger,31
1,knn,raw_pca17,deer_horn,orchid_palm,20
1,knn,raw_pca17,deer_horn,prayer_beads,15
1,knn,raw_pca17,deer_horn,three_finger_bent,33
1,knn,raw_pca17,flower_pinch,deer_horn,28
1,knn,raw_pca17,flower_pinch,flower_pinch,133
1,knn,raw_pca17,flower_pinch,orchid_finger,53
1,knn,raw_pca17,flower_pinch,orchid_palm,73
1,knn,raw_pca17,flower_pinch,prayer_beads,27
1,knn,raw_pca17,flower_pinch,three_finger_bent,66
1,knn,raw_pca17,orchid_finger,deer_horn,66
1,knn,raw_pca17,orchid_finger,flower_pinch,61
1,knn,raw_pca17,orchid_finger,orchid_finger,135
1,knn,raw_pca17,orchid_finger,orchid_palm,25
1,knn,raw_pca17,orchid_finger,prayer_beads,32
1,knn,raw_pca17,orchid_finger,three_finger_bent,48
1,knn,raw_pca17,orchid_palm,deer_horn,54
1,knn,raw_pca17,orchid_palm,flower_pinch,96
1,knn,raw_pca17,orchid_palm,orchid_finger,49
1,knn,raw_pca17,orchid_palm,orchid_palm,167
1,knn,raw_pca17,orchid_palm,prayer_beads,24
1,knn,raw_pca17,orchid_palm,three_finger_bent,50
1,knn,raw_pca17,prayer_beads,deer_horn,46
1,knn,raw_pca17,prayer_beads,flower_pinch,37
1,knn,raw_pca17,prayer_beads,orchid_finger,36
1,knn,raw_pca17,prayer_beads,orchid_palm,56
1,knn,raw_pca17,prayer_beads,prayer_beads,148
1,knn,raw_pca17,prayer_beads,three_finger_bent,50
1,knn,raw_pca17,three_finger_bent,deer_horn,55
1,knn,raw_pca17,three_finger_bent,flower_pinch,74
1,knn,raw_pca17,three_finger_bent,orchid_finger,39
1,knn,raw_pca17,three_finger_bent,orchid_palm,21
1,knn,raw_pca17,three_finger_bent,prayer_beads,19
1,knn,raw_pca17,three_finger_bent,three_finger_bent,152
1,mlp,corrected,deer_horn,deer_horn,219
1,mlp,corrected,deer_horn,flower_pinch,61
1,mlp,corrected,deer_horn,orchid_finger,40
1,mlp,corrected,deer_horn,orchid_palm,22
1,mlp,corrected,deer_horn,prayer_beads,4
1,mlp,corrected,deer_horn,three_finger_bent,34
1,mlp,corrected,flower_pinch,deer_horn,36
1,mlp,corrected,flower_pinch,flower_pinch,139
1,mlp,corrected,flower_pinch,orchid_finger,38
1,mlp,corrected,flower_pinch,orchid_palm,61
1,mlp,corrected,flower_pinch,prayer_beads,16
1,mlp,corrected,flower_pinch,three_finger_bent,90
1,mlp,corrected,orchid_finger,deer_horn,80
1,mlp,corrected,orchid_finger,flower_pinch,49
1,mlp,corrected,orchid_finger,orchid_finger,149
1,mlp,corrected,orchid_finger,orchid_palm,40
1,mlp,corrected,orchid_finger,prayer_beads,21
1,mlp,corrected,orchid_finger,three_finger_bent,28
1,mlp,corrected,orchid_palm,deer_horn,53
1,mlp,corrected,orchid_palm,flower_pinch,71
1,mlp,corrected,orchid_palm,orchid_finger,47
1,mlp,corrected,orchid_palm,orchid_palm,166
1,mlp,corrected,orchid_palm,prayer_beads,52
1,mlp,corrected,orchid_palm,three_finger_bent,51
1,mlp,corrected,prayer_beads,deer_horn,21
1,mlp,corrected,prayer_beads,flower_pinch,25
1,mlp,corrected,prayer_beads,orchid_finger,29
1,mlp,corrected,prayer_beads,orchid_palm,21
1,mlp,corrected,prayer_beads,prayer_beads,266
1,mlp,corrected,prayer_beads,three_finger_bent,11
1,mlp,corrected,three_finger_bent,deer_horn,9
1,mlp,corrected,three_finger_bent,flower_pinch,67
1,mlp,corrected,three_finger_bent,orchid_finger,11
1,mlp,corrected,three_finger_bent,orchid_palm,20
1,mlp,corrected,three_finger_bent,prayer_beads,4
1,mlp,corrected,three_finger_bent,three_finger_bent,249
1,mlp,optimized_action,deer_horn,deer_horn,231
1,mlp,optimized_action,deer_horn,flower_pinch,45
1,mlp,optimized_action,deer_horn,orchid_finger,37
1,mlp,optimized_action,deer_horn,orchid_palm,31
1,mlp,optimized_action,deer_horn,prayer_beads,10
1,mlp,optimized_action,deer_horn,three_finger_bent,26
1,mlp,optimized_action,flower_pinch,deer_horn,48
1,mlp,optimized_action,flower_pinch,flower_pinch,128
1,mlp,optimized_action,flower_pinch,orchid_finger,36
1,mlp,optimized_action,flower_pinch,orchid_palm,52
1,mlp,optimized_action,flower_pinch,prayer_beads,18
1,mlp,optimized_action,flower_pinch,three_finger_bent,98
1,mlp,optimized_action,orchid_finger,deer_horn,77
1,mlp,optimized_action,orchid_finger,flower_pinch,43
1,mlp,optimized_action,orchid_finger,orchid_finger,145
1,mlp,optimized_action,orchid_finger,orchid_palm,49
1,mlp,optimized_action,orchid_finger,prayer_beads,22
1,mlp,optimized_action,orchid_finger,three_finger_bent,31
1,mlp,optimized_action,orchid_palm,deer_horn,43
1,mlp,optimized_action,orchid_palm,flower_pinch,62
1,mlp,optimized_action,orchid_palm,orchid_finger,51
1,mlp,optimized_action,orchid_palm,orchid_palm,167
1,mlp,optimized_action,orchid_palm,prayer_beads,61
1,mlp,optimized_action,orchid_palm,three_finger_bent,56
1,mlp,optimized_action,prayer_beads,deer_horn,19
1,mlp,optimized_action,prayer_beads,flower_pinch,29
1,mlp,optimized_action,prayer_beads,orchid_finger,30
1,mlp,optimized_action,prayer_beads,orchid_palm,25
1,mlp,optimized_action,prayer_beads,prayer_beads,256
1,mlp,optimized_action,prayer_beads,three_finger_bent,14
1,mlp,optimized_action,three_finger_bent,deer_horn,14
1,mlp,optimized_action,three_finger_bent,flower_pinch,70
1,mlp,optimized_action,three_finger_bent,orchid_finger,18
1,mlp,optimized_action,three_finger_bent,orchid_palm,21
1,mlp,optimized_action,three_finger_bent,prayer_beads,1
1,mlp,optimized_action,three_finger_bent,three_finger_bent,236
1,mlp,optimized_full,deer_horn,deer_horn,119
1,mlp,optimized_full,deer_horn,flower_pinch,50
1,mlp,optimized_full,deer_horn,orchid_finger,64
1,mlp,optimized_full,deer_horn,orchid_palm,53
1,mlp,optimized_full,deer_horn,prayer_beads,30
1,mlp,optimized_full,deer_horn,three_finger_bent,64
1,mlp,optimized_full,flower_pinch,deer_horn,62
1,mlp,optimized_full,flower_pinch,flower_pinch,80
1,mlp,optimized_full,flower_pinch,orchid_finger,56
1,mlp,optimized_full,flower_pinch,orchid_palm,65
1,mlp,optimized_full,flower_pinch,prayer_beads,38
1,mlp,optimized_full,flower_pinch,three_finger_bent,79
1,mlp,optimized_full,orchid_finger,deer_horn,78
1,mlp,optimized_full,orchid_finger,flower_pinch,47
1,mlp,optimized_full,orchid_finger,orchid_finger,83
1,mlp,optimized_full,orchid_finger,orchid_palm,72
1,mlp,optimized_full,orchid_finger,prayer_beads,43
1,mlp,optimized_full,orchid_finger,three_finger_bent,44
1,mlp,optimized_full,orchid_palm,deer_horn,98
1,mlp,optimized_full,orchid_palm,flower_pinch,39
1,mlp,optimized_full,orchid_palm,orchid_finger,82
1,mlp,optimized_full,orchid_palm,orchid_palm,110
1,mlp,optimized_full,orchid_palm,prayer_beads,59
1,mlp,optimized_full,orchid_palm,three_finger_bent,52
1,mlp,optimized_full,prayer_beads,deer_horn,31
1,mlp,optimized_full,prayer_beads,flower_pinch,36
1,mlp,optimized_full,prayer_beads,orchid_finger,40
1,mlp,optimized_full,prayer_beads,orchid_palm,52
1,mlp,optimized_full,prayer_beads,prayer_beads,189
1,mlp,optimized_full,prayer_beads,three_finger_bent,25
1,mlp,optimized_full,three_finger_bent,deer_horn,67
1,mlp,optimized_full,three_finger_bent,flower_pinch,50
1,mlp,optimized_full,three_finger_bent,orchid_finger,69
1,mlp,optimized_full,three_finger_bent,orchid_palm,53
1,mlp,optimized_full,three_finger_bent,prayer_beads,15
1,mlp,optimized_full,three_finger_bent,three_finger_bent,106
1,mlp,raw,deer_horn,deer_horn,137
1,mlp,raw,deer_horn,flower_pinch,48
1,mlp,raw,deer_horn,orchid_finger,59
1,mlp,raw,deer_horn,orchid_palm,60
1,mlp,raw,deer_horn,prayer_beads,29
1,mlp,raw,deer_horn,three_finger_bent,47
1,mlp,raw,flower_pinch,deer_horn,52
1,mlp,raw,flower_pinch,flower_pinch,75
1,mlp,raw,flower_pinch,orchid_finger,35
1,mlp,raw,flower_pinch,orchid_palm,85
1,mlp,raw,flower_pinch,prayer_beads,64
1,mlp,raw,flower_pinch,three_finger_bent,69
1,mlp,raw,orchid_finger,deer_horn,77
1,mlp,raw,orchid_finger,flower_pinch,38
1,mlp,raw,orchid_finger,orchid_finger,88
1,mlp,raw,orchid_finger,orchid_palm,63
1,mlp,raw,orchid_finger,prayer_beads,50
1,mlp,raw,orchid_finger,three_finger_bent,51
1,mlp,raw,orchid_palm,deer_horn,75
1,mlp,raw,orchid_palm,flower_pinch,54
1,mlp,raw,orchid_palm,orchid_finger,53
1,mlp,raw,orchid_palm,orchid_palm,137
1,mlp,raw,orchid_palm,prayer_beads,59
1,mlp,raw,orchid_palm,three_finger_bent,62
1,mlp,raw,prayer_beads,deer_horn,60
1,mlp,raw,prayer_beads,flower_pinch,42
1,mlp,raw,prayer_beads,orchid_finger,50
1,mlp,raw,prayer_beads,orchid_palm,58
1,mlp,raw,prayer_beads,prayer_beads,103
1,mlp,raw,prayer_beads,three_finger_bent,60
1,mlp,raw,three_finger_bent,deer_horn,55
1,mlp,raw,three_finger_bent,flower_pinch,62
1,mlp,raw,three_finger_bent,orchid_finger,39
1,mlp,raw,three_finger_bent,orchid_palm,45
1,mlp,raw,three_finger_bent,prayer_beads,73
1,mlp,raw,three_finger_bent,three_finger_bent,86
1,mlp,raw_pca17,deer_horn,deer_horn,238
1,mlp,raw_pca17,deer_horn,flower_pinch,32
1,mlp,raw_pca17,deer_horn,orchid_finger,22
1,mlp,raw_pca17,deer_horn,orchid_palm,25
1,mlp,raw_pca17,deer_horn,prayer_beads,29
1,mlp,raw_pca17,deer_horn,three_finger_bent,34
1,mlp,raw_pca17,flower_pinch,deer_horn,57
1,mlp,raw_pca17,flower_pinch,flower_pinch,97
1,mlp,raw_pca17,flower_pinch,orchid_finger,52
1,mlp,raw_pca17,flower_pinch,orchid_palm,76
1,mlp,raw_pca17,flower_pinch,prayer_beads,38
1,mlp,raw_pca17,flower_pinch,three_finger_bent,60
1,mlp,raw_pca17,orchid_finger,deer_horn,81
1,mlp,raw_pca17,orchid_finger,flower_pinch,61
1,mlp,raw_pca17,orchid_finger,orchid_finger,92
1,mlp,raw_pca17,orchid_finger,orchid_palm,36
1,mlp,raw_pca17,orchid_finger,prayer_beads,55
1,mlp,raw_pca17,orchid_finger,three_finger_bent,42
1,mlp,raw_pca17,orchid_palm,deer_horn,56
1,mlp,raw_pca17,orchid_palm,flower_pinch,89
1,mlp,raw_pca17,orchid_palm,orchid_finger,48
1,mlp,raw_pca17,orchid_palm,orchid_palm,154
1,mlp,raw_pca17,orchid_palm,prayer_beads,34
1,mlp,raw_pca17,orchid_palm,three_finger_bent,59
1,mlp,raw_pca17,prayer_beads,deer_horn,53
1,mlp,raw_pca17,prayer_beads,flower_pinch,40
1,mlp,raw_pca17,prayer_beads,orchid_finger,36
1,mlp,raw_pca17,prayer_beads,orchid_palm,52
1,mlp,raw_pca17,prayer_beads,prayer_beads,150
1,mlp,raw_pca17,prayer_beads,three_finger_bent,42
1,mlp,raw_pca17,three_finger_bent,deer_horn,54
1,mlp,raw_pca17,three_finger_bent,flower_pinch,51
1,mlp,raw_pca17,three_finger_bent,orchid_finger,52
1,mlp,raw_pca17,three_finger_bent,orchid_palm,34
1,mlp,raw_pca17,three_finger_bent,prayer_beads,35
1,mlp,raw_pca17,three_finger_bent,three_finger_bent,134
1,rf,corrected,deer_horn,deer_horn,224
1,rf,corrected,deer_horn,flower_pinch,62
1,rf,corrected,deer_horn,orchid_finger,45
1,rf,corrected,deer_horn,orchid_palm,20
1,rf,corrected,deer_horn,prayer_beads,3
1,rf,corrected,deer_horn,three_finger_bent,26
1,rf,corrected,flower_pinch,deer_horn,54
1,rf,corrected,flower_pinch,flower_pinch,185
1,rf,corrected,flower_pinch,orchid_finger,13
1,rf,corrected,flower_pinch,orchid_palm,51
1,rf,corrected,flower_pinch,prayer_beads,6
1,rf,corrected,flower_pinch,three_finger_bent,71
