dataset,classifier,feature_set,feature_set_base,num_features,num_train,num_test,sequence_mode,shots_per_class,repeats,test_size,random_state,pca_components,c,gamma,knn_neighbors,knn_weights,rf_estimators,rf_max_depth,mlp_hidden_sizes,mlp_alpha,mlp_learning_rate,mlp_max_iter,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,accuracy_mean,accuracy_std,cohen_kappa_mean,cohen_kappa_std,weighted_f1_mean,weighted_f1_std
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\updated_6class_20260820\gesture_sequence_dataset_chinese_dance_6class_after_fix_smoothing.csv,rf,raw,raw,252,18,115,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.432155,0.045620,0.414525,0.041951,0.441310,0.047632,0.430870,0.044209,0.316343,0.053590,0.412750,0.041108
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\updated_6class_20260820\gesture_sequence_dataset_chinese_dance_6class_after_fix_smoothing.csv,rf,moving_average_raw,moving_average_raw,252,18,115,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.426701,0.051840,0.408783,0.049735,0.431616,0.059051,0.424783,0.048515,0.308897,0.059621,0.406515,0.048158
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\updated_6class_20260820\gesture_sequence_dataset_chinese_dance_6class_after_fix_smoothing.csv,rf,savgol_raw,savgol_raw,252,18,115,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.422012,0.045816,0.405326,0.046375,0.430263,0.051485,0.420435,0.043241,0.303615,0.052832,0.403338,0.045077
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\updated_6class_20260820\gesture_sequence_dataset_chinese_dance_6class_after_fix_smoothing.csv,rf,oneeuro_raw,oneeuro_raw,252,18,115,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.421099,0.057037,0.402214,0.053031,0.430399,0.056935,0.418696,0.054393,0.301992,0.066616,0.399912,0.051909
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\updated_6class_20260820\gesture_sequence_dataset_chinese_dance_6class_after_fix_smoothing.csv,rf,kalman_raw,kalman_raw,252,18,115,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.412141,0.046311,0.396619,0.043161,0.419962,0.047105,0.409565,0.044671,0.291448,0.054531,0.394591,0.043422
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\updated_6class_20260820\gesture_sequence_dataset_chinese_dance_6class_after_fix_smoothing.csv,rf,corrected,corrected,68,18,115,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.787668,0.061612,0.780325,0.067657,0.793331,0.062025,0.782609,0.061118,0.739268,0.073252,0.777442,0.066709
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\updated_6class_20260820\gesture_sequence_dataset_chinese_dance_6class_after_fix_smoothing.csv,rf,optimized_action,optimized_action,68,18,115,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.773423,0.063268,0.763152,0.066642,0.779586,0.061250,0.767391,0.062637,0.721144,0.075042,0.759918,0.065916
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\updated_6class_20260820\gesture_sequence_dataset_chinese_dance_6class_after_fix_smoothing.csv,rf,optimized_full,optimized_full,252,18,115,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.510885,0.093030,0.497323,0.090271,0.513330,0.092711,0.506087,0.092051,0.407777,0.110182,0.493683,0.089548
