shot,num_train,classifier,feature_set,repeats,accuracy_mean,accuracy_std,accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,kappa_mean,kappa_std,kappa_ci95
1,6,knn,corrected,50,0.5361739130434783,0.09643333201559247,0.02700133296436589,0.5231158284451037,0.10188507311237505,0.02852782047146501,0.44361403540499644,0.11627038651278133,0.03255570822357877
1,6,knn,joint_angle,50,0.5521739130434783,0.08214975490300515,0.023001931372841438,0.536875660198697,0.09076158306454418,0.02541324325807237,0.46242985047377305,0.09911567745349786,0.0277523896869794
1,6,knn,optimized_action,50,0.5220869565217391,0.07683650676121696,0.021514221893140752,0.5056130607635645,0.083658567683807,0.02342439895146596,0.4266132084230184,0.09282982587535041,0.025992351245098116
1,6,knn,optimized_full,50,0.30382608695652175,0.05926863644914267,0.016595218205759946,0.2866811298689471,0.06521477033912448,0.018260135694954854,0.16531048088125896,0.07143535127459151,0.020001898356885622
1,6,knn,raw,50,0.27408695652173914,0.05447782712620975,0.015253791595338727,0.24829089298836593,0.06084785165773315,0.01703739846416528,0.12784561202299297,0.06611207796874279,0.01851138183124798
1,6,knn,raw_pca11,50,0.40399999999999997,0.06679732627681716,0.018703251357508804,0.38227519262413023,0.07089945245713458,0.019851846687997686,0.2843744537059172,0.08010663657168596,0.02242985824007207
1,6,knn,raw_pca17,50,0.4182608695652174,0.07360549827411994,0.020609539516753584,0.3961344496604399,0.08126599290233978,0.022754478012655142,0.30179754932993125,0.08806959829753971,0.024659487523311117
1,6,mlp,corrected,50,0.5090434782608696,0.09125398196765301,0.02555111495094284,0.4953799509437971,0.09619575166722069,0.026934810466821793,0.41133281410618083,0.10966813433820155,0.030707077614696432
1,6,mlp,joint_angle,50,0.5241739130434783,0.08638140246529606,0.024186792690282892,0.5093775472484068,0.09141625700500877,0.025596551961402453,0.42895239873358754,0.10403762329959113,0.029130534523885518
1,6,mlp,optimized_action,50,0.4871304347826087,0.0776690667637192,0.02174733869384137,0.47082768412697024,0.08251984774181365,0.023105557367707818,0.38489097249633886,0.09344933997245283,0.026165815192286793
1,6,mlp,optimized_full,50,0.2986086956521739,0.05985767618999074,0.016760149333197406,0.2837419120595155,0.06304742615951069,0.017653279324662995,0.1585407344752716,0.07150086652572453,0.020020242627202863
1,6,mlp,raw,50,0.27408695652173914,0.05636070706234182,0.015780997977455708,0.2527645423183592,0.05913124206262402,0.016556747777534724,0.12780707118519022,0.06762784996751735,0.01893579799090486
1,6,mlp,raw_pca11,50,0.3843478260869565,0.06701860475825284,0.0187652093323108,0.36382667193885987,0.07337809544577495,0.020545866724816984,0.2606078302385609,0.08067698800506598,0.02258955664141847
1,6,mlp,raw_pca17,50,0.37043478260869556,0.07715155830545682,0.021602436325527906,0.34799047874229344,0.07825291140876395,0.021910815194453905,0.2443726347355878,0.09210745466983433,0.025790087307553614
1,6,rf,corrected,50,0.5424347826086957,0.07368024720355731,0.020630469216996045,0.5235089577060028,0.08150704454389213,0.022821972472289797,0.45115158486359774,0.08848851324523571,0.024776783708665994
1,6,rf,joint_angle,50,0.5638260869565218,0.0730509312967811,0.020454260763098704,0.5448532831926318,0.08516723812056813,0.023846826673759074,0.4766295616466941,0.08754244348643678,0.024511884176202293
1,6,rf,optimized_action,50,0.523304347826087,0.06165186729549067,0.01726252284273739,0.5032006865280036,0.0668936962028242,0.01873023493679078,0.4282889625289851,0.07364177114467092,0.020619695920507858
1,6,rf,optimized_full,50,0.2946086956521739,0.06103431121555855,0.017089607140356393,0.2761331657526262,0.06636246823412711,0.018581491105555594,0.15417658435203166,0.07309596024590438,0.020466868868853228
1,6,rf,raw,50,0.27791304347826085,0.04788012757143708,0.01340643572000238,0.25321087594454295,0.04808568380070434,0.013463991464197215,0.13266459256184845,0.057122640083513705,0.01599433922338384
1,6,rf,raw_pca11,50,0.38086956521739135,0.07275304578557179,0.020370852819960098,0.3611948897655197,0.07836700319889514,0.02194276089569064,0.25661410878493035,0.08789537900606197,0.02461070612169735
