representation,dimension,representation_type,uses_temporal_information,uses_orca_embodiment,uses_mujoco,svm_accuracy_mean,svm_macro_f1_mean,knn_accuracy_mean,knn_macro_f1_mean,rf_accuracy_mean,rf_macro_f1_mean,mlp_accuracy_mean,mlp_macro_f1_mean
Raw-63,63,Cartesian landmark coordinates,No,No,No,0.3966956521739131,0.3865863618382217,0.3589565217391304,0.3434798496082415,0.42278260869565215,0.41257847236228196,0.3909565217391304,0.3798352031180313
PCA-11,11,Statistical latent representation,No,No,No,0.5867826086956522,0.5902852556770661,0.5452173913043478,0.5386903845905323,0.6189565217391304,0.6161102893219667,0.5897391304347825,0.5863095044114002
PCA-17,17,Statistical latent representation,No,No,No,0.6163478260869566,0.6226205808978762,0.581391304347826,0.5750064804567583,0.659304347826087,0.6573523229568736,0.6266086956521739,0.6232130586534504
JointAngle-11,11,Geometric joint-angle representation,No,No,No,0.7253913043478262,0.7287328717449744,0.6791304347826087,0.6785832260575319,0.7855652173913044,0.7841375288581202,0.728695652173913,0.7289377559169788
Corrected-17,17,Embodiment-aware actuator representation,No,Yes,No,0.7405217391304348,0.7436212134466609,0.686608695652174,0.6837350785758596,0.7620869565217393,0.7618817624962188,0.7311304347826088,0.7296955687370485
Optimized Action-17,17,Kinematic/temporal refined actuator representation,Yes,Yes,Yes,0.717913043478261,0.7212393625578278,0.6709565217391306,0.6672521965750721,0.7526956521739132,0.7518403277362913,0.7033043478260868,0.7016559340312383
Optimized Full-63,63,Reconstructed Cartesian landmark representation,Yes,Yes,Yes,0.44469565217391316,0.4464519181955907,0.41182608695652173,0.4029001035977943,0.48173913043478256,0.47656844017286093,0.4577391304347826,0.45191720029280424
