shot,classifier,metric,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
1,svm,accuracy,joint_angle_minus_raw,0.2780869565217391,0.08907828803286345,0.024941920649201765,50,0,0,7.512618995330573e-10
1,svm,macro_f1,joint_angle_minus_raw,0.28858476721033105,0.09895503039833625,0.027707408511534144,50,0,0,1.7763568394002505e-15
1,svm,accuracy,joint_angle_minus_raw_pca11,0.14817391304347827,0.08254844484720394,0.023113564557217105,47,0,3,1.2246192915599532e-09
1,svm,macro_f1,joint_angle_minus_raw_pca11,0.15460046757456677,0.08883078430584071,0.024872619605635398,48,0,2,3.375077994860476e-14
1,svm,accuracy,corrected_minus_joint_angle,-0.015999999999999997,0.09175227600026463,0.025690637280074098,24,2,24,0.4416091834126301
1,svm,macro_f1,corrected_minus_joint_angle,-0.013759831753593299,0.09351691997310192,0.026184737592468536,23,0,27,0.49032624846387485
1,svm,accuracy,optimized_action_minus_joint_angle,-0.030086956521739143,0.07646658091100506,0.021410642655081417,16,5,29,0.007821980396802753
1,svm,macro_f1,optimized_action_minus_joint_angle,-0.031262599435132585,0.08270411278936307,0.02315715158102166,18,0,32,0.01186723909238907
1,svm,accuracy,optimized_action_minus_corrected,-0.014086956521739143,0.047465518277280114,0.01329034511763843,16,4,30,0.02916326596901228
1,svm,macro_f1,optimized_action_minus_corrected,-0.01750276768153929,0.047104037953861505,0.01318913062708122,15,0,35,0.010261609457190346
1,knn,accuracy,joint_angle_minus_raw,0.2780869565217391,0.08907828803286345,0.024941920649201765,50,0,0,7.512618995330573e-10
1,knn,macro_f1,joint_angle_minus_raw,0.28858476721033105,0.09895503039833625,0.027707408511534144,50,0,0,1.7763568394002505e-15
1,knn,accuracy,joint_angle_minus_raw_pca11,0.14817391304347827,0.08254844484720394,0.023113564557217105,47,0,3,1.2246192915599532e-09
1,knn,macro_f1,joint_angle_minus_raw_pca11,0.15460046757456677,0.08883078430584071,0.024872619605635398,48,0,2,3.375077994860476e-14
1,knn,accuracy,corrected_minus_joint_angle,-0.015999999999999997,0.09175227600026463,0.025690637280074098,24,2,24,0.4416091834126301
1,knn,macro_f1,corrected_minus_joint_angle,-0.013759831753593299,0.09351691997310192,0.026184737592468536,23,0,27,0.49032624846387485
1,knn,accuracy,optimized_action_minus_joint_angle,-0.030086956521739143,0.07646658091100506,0.021410642655081417,16,5,29,0.007821980396802753
1,knn,macro_f1,optimized_action_minus_joint_angle,-0.031262599435132585,0.08270411278936307,0.02315715158102166,18,0,32,0.01186723909238907
1,knn,accuracy,optimized_action_minus_corrected,-0.014086956521739143,0.047465518277280114,0.01329034511763843,16,4,30,0.02916326596901228
1,knn,macro_f1,optimized_action_minus_corrected,-0.01750276768153929,0.047104037953861505,0.01318913062708122,15,0,35,0.010261609457190346
1,rf,accuracy,joint_angle_minus_raw,0.28591304347826085,0.07009882303254601,0.019627670449112886,50,0,0,7.50922018420483e-10
1,rf,macro_f1,joint_angle_minus_raw,0.2916424072480888,0.07946571304081841,0.022250399651429154,50,0,0,1.7763568394002505e-15
1,rf,accuracy,joint_angle_minus_raw_pca11,0.18295652173913038,0.07973415185254441,0.022325562518712434,50,0,0,7.522823720955151e-10
1,rf,macro_f1,joint_angle_minus_raw_pca11,0.18365839342711207,0.09358893228272062,0.02620490103916177,50,0,0,1.7763568394002505e-15
1,rf,accuracy,corrected_minus_joint_angle,-0.021391304347826084,0.0684521827500878,0.01916661117002458,19,2,29,0.05236349831625983
1,rf,macro_f1,corrected_minus_joint_angle,-0.02134432548662898,0.07632854643987573,0.021371993003165203,18,0,32,0.05803543429142444
1,rf,accuracy,optimized_action_minus_joint_angle,-0.04052173913043478,0.054070177741366694,0.015139649767582674,9,4,37,1.0549700974579338e-05
1,rf,macro_f1,optimized_action_minus_joint_angle,-0.04165259666462809,0.06369037993473556,0.017833306381725953,13,0,37,2.0810681753857807e-05
1,rf,accuracy,optimized_action_minus_corrected,-0.019130434782608695,0.05162025071184635,0.01445367019931698,14,3,33,0.006824384047356515
1,rf,macro_f1,optimized_action_minus_corrected,-0.02030827117799911,0.057482609730065526,0.016095130724418344,17,0,33,0.008848884696840642
1,mlp,accuracy,joint_angle_minus_raw,0.2500869565217392,0.10147583917232608,0.0284132349682513,50,0,0,7.504124557143965e-10
1,mlp,macro_f1,joint_angle_minus_raw,0.2566130049300475,0.10518909737622933,0.029452947265344212,50,0,0,1.7763568394002505e-15
1,mlp,accuracy,joint_angle_minus_raw_pca11,0.13982608695652174,0.09690624549469974,0.027133748738515928,47,0,3,2.220941540141285e-09
1,mlp,macro_f1,joint_angle_minus_raw_pca11,0.1455508753095469,0.1021808068634459,0.028610625921764846,48,0,2,1.2434497875801753e-13
1,mlp,accuracy,corrected_minus_joint_angle,-0.0151304347826087,0.08491178564931379,0.023775299981807857,21,1,28,0.26292690229553495
1,mlp,macro_f1,corrected_minus_joint_angle,-0.013997596304609615,0.08120134646380556,0.02273637700986555,23,0,27,0.2653376709882824
1,mlp,accuracy,optimized_action_minus_joint_angle,-0.03704347826086957,0.07639930917452098,0.021391806568865874,15,2,33,0.0004320978357992697
1,mlp,macro_f1,optimized_action_minus_joint_angle,-0.03854986312143653,0.07551683615242276,0.02114471412267837,15,0,35,0.00014903614355255002
1,mlp,accuracy,optimized_action_minus_corrected,-0.02191304347826087,0.04829775323826041,0.013523370906712915,12,3,35,0.0027834330571446016
1,mlp,macro_f1,optimized_action_minus_corrected,-0.024552266816826925,0.048979113583113076,0.01371415180327166,14,0,36,0.0009149367393188612
3,svm,accuracy,joint_angle_minus_raw,0.32869565217391306,0.07560718302359708,0.021170011246607178,50,0,0,7.529633786524503e-10
3,svm,macro_f1,joint_angle_minus_raw,0.34214650990675266,0.07695989275468891,0.021548769971312897,50,0,0,1.7763568394002505e-15
3,svm,accuracy,joint_angle_minus_raw_pca11,0.13860869565217393,0.06705041412270668,0.018774115954357868,49,0,1,1.1111405253225991e-09
3,svm,macro_f1,joint_angle_minus_raw_pca11,0.13844761606790837,0.06791476424042739,0.019016133987319668,49,0,1,8.881784197001252e-15
3,svm,accuracy,corrected_minus_joint_angle,0.0151304347826087,0.0479385239592865,0.01342278670860022,26,7,17,0.02533528489274608
3,svm,macro_f1,corrected_minus_joint_angle,0.014888341701686595,0.04708059947006974,0.013182567851619528,34,0,16,0.02616696817119646
3,svm,accuracy,optimized_action_minus_joint_angle,-0.007478260869565212,0.04819651016082409,0.013495022845030744,22,2,26,0.3418292566179987
3,svm,macro_f1,optimized_action_minus_joint_angle,-0.007493509187146568,0.04447244769253055,0.012452285353908554,22,0,28,0.26120880915335754
3,svm,accuracy,optimized_action_minus_corrected,-0.022608695652173907,0.0335881876797008,0.009404692550316224,11,4,35,3.1343763155818977e-05
3,svm,macro_f1,optimized_action_minus_corrected,-0.022381850888833165,0.034464763391326224,0.009650133749571344,12,0,38,2.5552926345540072e-05
3,knn,accuracy,joint_angle_minus_raw,0.32017391304347825,0.07022922231732874,0.019664182248852045,50,0,0,7.538154154994468e-10
3,knn,macro_f1,joint_angle_minus_raw,0.3351033764492904,0.0752889178862361,0.021080897008146107,50,0,0,1.7763568394002505e-15
3,knn,accuracy,joint_angle_minus_raw_pca11,0.13391304347826088,0.07006343331646499,0.019617761328610196,48,1,1,1.4101706137886054e-09
3,knn,macro_f1,joint_angle_minus_raw_pca11,0.13989284146699943,0.07342591438839388,0.020559256028750285,48,0,2,2.4868995751603507e-14
3,knn,accuracy,corrected_minus_joint_angle,0.007478260869565212,0.050073971746835054,0.014020712089113813,27,3,20,0.30421980995247555
3,knn,macro_f1,corrected_minus_joint_angle,0.005151852518327721,0.05437348634139918,0.015224576175591769,26,0,24,0.4963885938865378
3,knn,accuracy,optimized_action_minus_joint_angle,-0.008173913043478255,0.04798897163792723,0.013436912058619622,22,2,26,0.27885965228244447
3,knn,macro_f1,optimized_action_minus_joint_angle,-0.011331029482459563,0.05255544520304206,0.014715524656851775,22,0,28,0.1976349682926415
3,knn,accuracy,optimized_action_minus_corrected,-0.01565217391304347,0.035895247722696165,0.010050669362354927,14,6,30,0.0072372314989192724
3,knn,macro_f1,optimized_action_minus_corrected,-0.01648288200078728,0.03756723520193471,0.010518825856541719,18,0,32,0.005758302166270823
3,rf,accuracy,joint_angle_minus_raw,0.36278260869565215,0.07126276624263181,0.019953574547936902,50,0,0,7.539859267508617e-10
3,rf,macro_f1,joint_angle_minus_raw,0.37155905649583837,0.07449465977310973,0.020858504736470725,50,0,0,1.7763568394002505e-15
3,rf,accuracy,joint_angle_minus_raw_pca11,0.1666086956521739,0.07565437278163759,0.02118322437885852,50,0,0,7.473615963948637e-10
3,rf,macro_f1,joint_angle_minus_raw_pca11,0.16802723953615348,0.07714345590497557,0.02160016765339316,50,0,0,1.7763568394002505e-15
3,rf,accuracy,corrected_minus_joint_angle,-0.023478260869565223,0.05026207310128149,0.014073380468358813,13,1,36,0.0034174620215676904
3,rf,macro_f1,corrected_minus_joint_angle,-0.022255766361901585,0.05126462939464942,0.014354096230501838,15,0,35,0.006325487527247375
3,rf,accuracy,optimized_action_minus_joint_angle,-0.03286956521739131,0.04648035542520826,0.01301449951905831,12,2,36,3.531762816668394e-05
3,rf,macro_f1,optimized_action_minus_joint_angle,-0.032297201121828996,0.04738401334998045,0.013267523737994525,14,0,36,3.818192634774675e-05
3,rf,accuracy,optimized_action_minus_corrected,-0.009391304347826084,0.03407275658089311,0.009540371842650072,19,5,26,0.0787805693055603
3,rf,macro_f1,optimized_action_minus_corrected,-0.010041434759927415,0.03398528978489635,0.009515881139770978,23,0,27,0.0932040847757225
3,mlp,accuracy,joint_angle_minus_raw,0.3377391304347826,0.06991996504781259,0.019577590213387525,50,0,0,7.521122069214676e-10
3,mlp,macro_f1,joint_angle_minus_raw,0.34910255279894764,0.07318334669522987,0.02049133707466436,50,0,0,1.7763568394002505e-15
3,mlp,accuracy,joint_angle_minus_raw_pca11,0.13895652173913045,0.06417108512680463,0.017967903835505294,50,0,0,7.495638746932361e-10
3,mlp,macro_f1,joint_angle_minus_raw_pca11,0.14262825150557865,0.06496817040917696,0.018191087714569548,50,0,0,1.7763568394002505e-15
3,mlp,accuracy,corrected_minus_joint_angle,0.002434782608695656,0.04894470472873431,0.013704517324045604,18,5,27,0.8475547985697789
3,mlp,macro_f1,corrected_minus_joint_angle,0.0007578128200695411,0.05032125604709203,0.014089951693185769,19,0,31,0.7160933233749613
3,mlp,accuracy,optimized_action_minus_joint_angle,-0.02539130434782609,0.055511779434230274,0.015543298241584477,14,4,32,0.004312996036114207
3,mlp,macro_f1,optimized_action_minus_joint_angle,-0.027281821885740607,0.05794853554294614,0.01622558995202492,15,0,35,0.001909205638362721
3,mlp,accuracy,optimized_action_minus_corrected,-0.027826086956521747,0.03512871282908549,0.009836039592143938,7,6,37,1.0197555083289677e-05
3,mlp,macro_f1,optimized_action_minus_corrected,-0.028039634705810147,0.03833674038671093,0.01073428730827906,13,0,37,4.268415494834699e-06
5,svm,accuracy,joint_angle_minus_raw,0.326608695652174,0.062151957205699125,0.01740254801759575,50,0,0,7.495638746932361e-10
5,svm,macro_f1,joint_angle_minus_raw,0.334849988747839,0.06360168313592147,0.017808471278058013,50,0,0,1.7763568394002505e-15
5,svm,accuracy,joint_angle_minus_raw_pca11,0.12695652173913044,0.060069273179723624,0.016819396490322616,49,1,0,1.0965780354661986e-09
5,svm,macro_f1,joint_angle_minus_raw_pca11,0.12785713990453293,0.06020054566802439,0.016856152787046826,50,0,0,1.7763568394002505e-15
5,svm,accuracy,corrected_minus_joint_angle,0.012173913043478264,0.04385920074058606,0.012280576207364096,27,2,21,0.0463050930783149
5,svm,macro_f1,corrected_minus_joint_angle,0.013779190972664099,0.04115029985244182,0.011522083958683708,28,0,22,0.039015525521861605
5,svm,accuracy,optimized_action_minus_joint_angle,0.0029565217391304332,0.04830933719780777,0.013526614415386176,23,3,24,0.7627894753049944
5,svm,macro_f1,optimized_action_minus_joint_angle,0.0045579616258526155,0.045735092367134064,0.012805825862797536,25,0,25,0.5655778099255286
5,svm,accuracy,optimized_action_minus_corrected,-0.00921739130434783,0.023488564566750927,0.006576798078690258,15,6,29,0.00954825797804111
5,svm,macro_f1,optimized_action_minus_corrected,-0.009221229346811483,0.023262307240878154,0.006513446027445882,16,0,34,0.006325487527247375
5,knn,accuracy,joint_angle_minus_raw,0.3396521739130435,0.06675656194957191,0.018691837345880136,50,0,0,7.533040895340024e-10
5,knn,macro_f1,joint_angle_minus_raw,0.35439861618911506,0.06903854728837118,0.01933079324074393,50,0,0,1.7763568394002505e-15
5,knn,accuracy,joint_angle_minus_raw_pca11,0.152,0.0632154177073665,0.017700316958062616,50,0,0,7.482079377523656e-10
5,knn,macro_f1,joint_angle_minus_raw_pca11,0.15861451571655105,0.06573491760673363,0.018405776929885414,50,0,0,1.7763568394002505e-15
5,knn,accuracy,corrected_minus_joint_angle,0.0034782608695652197,0.04302371087601037,0.012046639045282902,22,6,22,0.4642551551291354
5,knn,macro_f1,corrected_minus_joint_angle,0.0019879097779685662,0.043607247218557174,0.012210029221196008,23,0,27,0.8557483168795788
5,knn,accuracy,optimized_action_minus_joint_angle,-0.014782608695652169,0.05014157649856867,0.014039641419599227,20,2,28,0.05057964264258018
5,knn,macro_f1,optimized_action_minus_joint_angle,-0.016128019916813608,0.05021773218498922,0.01406096501179698,18,0,32,0.03539143616493412
5,knn,accuracy,optimized_action_minus_corrected,-0.01826086956521739,0.03028534742133565,0.008479897277973983,11,4,35,0.00038321281423870604
5,knn,macro_f1,optimized_action_minus_corrected,-0.018115929694782172,0.03054512322583158,0.008552634503232842,15,0,35,0.00015581408102782746
5,rf,accuracy,joint_angle_minus_raw,0.30904347826086953,0.06328642842414407,0.017720199958760337,50,0,0,7.510919417084666e-10
5,rf,macro_f1,joint_angle_minus_raw,0.3161702660023607,0.06792838242263473,0.019019947078337724,50,0,0,1.7763568394002505e-15
5,rf,accuracy,joint_angle_minus_raw_pca11,0.11634782608695651,0.07212444611772266,0.02019484491296234,48,0,2,9.846531993898857e-10
5,rf,macro_f1,joint_angle_minus_raw_pca11,0.11757161512254194,0.07296676457783152,0.02043069408179283,48,0,2,1.7763568394002505e-14
5,rf,accuracy,corrected_minus_joint_angle,0.0024347826086956624,0.04037779996085273,0.011305783989038764,23,5,22,0.5759632775354775
5,rf,macro_f1,corrected_minus_joint_angle,0.002529215555235078,0.040279089579302874,0.011278145082204804,24,0,26,0.6736344940466168
5,rf,accuracy,optimized_action_minus_joint_angle,-0.002086956521739127,0.03711974186729881,0.010393527722843666,21,8,21,0.7072045708815635
5,rf,macro_f1,optimized_action_minus_joint_angle,-0.0020170357133649963,0.03712606919080341,0.010395299373424954,26,0,24,0.7304479390240814
5,rf,accuracy,optimized_action_minus_corrected,-0.00452173913043479,0.022490661788281345,0.006297385300718776,19,9,22,0.15070788534741325
5,rf,macro_f1,optimized_action_minus_corrected,-0.004546251268600075,0.02268401394412711,0.006351523904355589,25,0,25,0.23352895058251377
5,mlp,accuracy,joint_angle_minus_raw,0.32834782608695656,0.05666363459770567,0.015865817687357585,50,0,0,7.493942619567868e-10
5,mlp,macro_f1,joint_angle_minus_raw,0.3384111070325118,0.061002088203060516,0.017080584696856943,50,0,0,1.7763568394002505e-15
5,mlp,accuracy,joint_angle_minus_raw_pca11,0.12330434782608696,0.05914807920889807,0.016561462178491457,50,0,0,7.497335219107156e-10
5,mlp,macro_f1,joint_angle_minus_raw_pca11,0.12527794392610778,0.06058112142270386,0.01696271399835708,50,0,0,1.7763568394002505e-15
5,mlp,accuracy,corrected_minus_joint_angle,0.0040000000000000036,0.0400457205622488,0.011212801757429664,23,4,23,0.4537811650868193
5,mlp,macro_f1,corrected_minus_joint_angle,0.003220956312282166,0.0396256586561724,0.011095184423728272,25,0,25,0.6390094850461736
5,mlp,accuracy,optimized_action_minus_joint_angle,-0.011478260869565216,0.04135475185447471,0.011579330519252919,16,8,26,0.05952843657686865
5,mlp,macro_f1,optimized_action_minus_joint_angle,-0.011994261438741211,0.04089232571918081,0.011449851201370626,19,0,31,0.03996834652842374
5,mlp,accuracy,optimized_action_minus_corrected,-0.015478260869565219,0.03151091268350455,0.008823055551381272,12,6,32,0.0024613807640483138
5,mlp,macro_f1,optimized_action_minus_corrected,-0.015215217751023379,0.03229577525205065,0.009042817070574182,15,0,35,0.0022762251098509267
10,svm,accuracy,joint_angle_minus_raw,0.264695652173913,0.0574481931485251,0.016085494081587028,50,0,0,7.497335219107156e-10
10,svm,macro_f1,joint_angle_minus_raw,0.26438670688760724,0.05774328520903579,0.01616811985853002,50,0,0,1.7763568394002505e-15
10,svm,accuracy,joint_angle_minus_raw_pca11,0.08904347826086954,0.04377498746327871,0.012256996489718036,48,0,2,9.735014283035522e-10
10,svm,macro_f1,joint_angle_minus_raw_pca11,0.08940873156756196,0.042369950238539546,0.011863586066791072,48,0,2,1.2434497875801753e-14
