shot,classifier,feature_set,true_label,predicted_label,count
1,knn,optimized_action,three_finger_bent,orchid_palm,55
1,knn,optimized_action,three_finger_bent,prayer_beads,7
1,knn,optimized_action,three_finger_bent,three_finger_bent,600
1,knn,optimized_full,deer_horn,deer_horn,288
1,knn,optimized_full,deer_horn,flower_pinch,133
1,knn,optimized_full,deer_horn,orchid_finger,163
1,knn,optimized_full,deer_horn,orchid_palm,109
1,knn,optimized_full,deer_horn,prayer_beads,81
1,knn,optimized_full,deer_horn,three_finger_bent,176
1,knn,optimized_full,flower_pinch,deer_horn,143
1,knn,optimized_full,flower_pinch,flower_pinch,230
1,knn,optimized_full,flower_pinch,orchid_finger,160
1,knn,optimized_full,flower_pinch,orchid_palm,139
1,knn,optimized_full,flower_pinch,prayer_beads,60
1,knn,optimized_full,flower_pinch,three_finger_bent,218
1,knn,optimized_full,orchid_finger,deer_horn,158
1,knn,optimized_full,orchid_finger,flower_pinch,145
1,knn,optimized_full,orchid_finger,orchid_finger,240
1,knn,optimized_full,orchid_finger,orchid_palm,174
1,knn,optimized_full,orchid_finger,prayer_beads,78
1,knn,optimized_full,orchid_finger,three_finger_bent,130
1,knn,optimized_full,orchid_palm,deer_horn,163
1,knn,optimized_full,orchid_palm,flower_pinch,157
1,knn,optimized_full,orchid_palm,orchid_finger,202
1,knn,optimized_full,orchid_palm,orchid_palm,268
1,knn,optimized_full,orchid_palm,prayer_beads,155
1,knn,optimized_full,orchid_palm,three_finger_bent,155
1,knn,optimized_full,prayer_beads,deer_horn,87
1,knn,optimized_full,prayer_beads,flower_pinch,80
1,knn,optimized_full,prayer_beads,orchid_finger,115
1,knn,optimized_full,prayer_beads,orchid_palm,89
1,knn,optimized_full,prayer_beads,prayer_beads,424
1,knn,optimized_full,prayer_beads,three_finger_bent,130
1,knn,optimized_full,three_finger_bent,deer_horn,110
1,knn,optimized_full,three_finger_bent,flower_pinch,163
1,knn,optimized_full,three_finger_bent,orchid_finger,175
1,knn,optimized_full,three_finger_bent,orchid_palm,103
1,knn,optimized_full,three_finger_bent,prayer_beads,52
1,knn,optimized_full,three_finger_bent,three_finger_bent,297
1,knn,raw,deer_horn,deer_horn,367
1,knn,raw,deer_horn,flower_pinch,120
1,knn,raw,deer_horn,orchid_finger,174
1,knn,raw,deer_horn,orchid_palm,138
1,knn,raw,deer_horn,prayer_beads,47
1,knn,raw,deer_horn,three_finger_bent,104
1,knn,raw,flower_pinch,deer_horn,183
1,knn,raw,flower_pinch,flower_pinch,244
1,knn,raw,flower_pinch,orchid_finger,95
1,knn,raw,flower_pinch,orchid_palm,178
1,knn,raw,flower_pinch,prayer_beads,108
1,knn,raw,flower_pinch,three_finger_bent,142
1,knn,raw,orchid_finger,deer_horn,216
1,knn,raw,orchid_finger,flower_pinch,97
1,knn,raw,orchid_finger,orchid_finger,249
1,knn,raw,orchid_finger,orchid_palm,167
1,knn,raw,orchid_finger,prayer_beads,90
1,knn,raw,orchid_finger,three_finger_bent,106
1,knn,raw,orchid_palm,deer_horn,221
1,knn,raw,orchid_palm,flower_pinch,219
1,knn,raw,orchid_palm,orchid_finger,149
1,knn,raw,orchid_palm,orchid_palm,282
1,knn,raw,orchid_palm,prayer_beads,109
1,knn,raw,orchid_palm,three_finger_bent,120
1,knn,raw,prayer_beads,deer_horn,146
1,knn,raw,prayer_beads,flower_pinch,151
1,knn,raw,prayer_beads,orchid_finger,118
1,knn,raw,prayer_beads,orchid_palm,156
1,knn,raw,prayer_beads,prayer_beads,224
1,knn,raw,prayer_beads,three_finger_bent,130
1,knn,raw,three_finger_bent,deer_horn,140
