shot,classifier,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
3,svm,raw_occluded_minus_clean,-0.0034782608695652167,0.010434782608695653,0.00469205048750923,3,8,9,0.2282693247927552
3,svm,raw_pca17_occluded_minus_clean,-0.06869565217391305,0.03121969229741955,0.014038085694466233,0,1,19,0.00013018593685836283
3,svm,corrected_occluded_minus_clean,-0.21695652173913044,0.060961111282906266,0.02741145864176453,0,0,20,8.832385863081277e-05
3,svm,optimized_action_occluded_minus_clean,-0.2034782608695652,0.055297784680294414,0.024864916433538258,0,0,20,8.832385863081277e-05
3,svm,optimized_full_occluded_minus_clean,-0.06173913043478261,0.03993378261984361,0.017956418570079458,1,0,19,0.0001500918523107974
3,svm,optimized_action_minus_corrected_degradation,0.013478260869565217,0.03505059804683015,0.015760671000090612,10,2,8,0.21415675755736718
3,knn,raw_occluded_minus_clean,-0.003478260869565214,0.014128762442845147,0.006353066392835975,6,5,9,0.35115749688827136
3,knn,raw_pca17_occluded_minus_clean,-0.026521739130434797,0.03395482376203379,0.01526795079115264,3,1,16,0.005415532494171905
3,knn,corrected_occluded_minus_clean,-0.1160869565217391,0.05515230672980186,0.02479950156922076,0,0,20,8.745059215649785e-05
3,knn,optimized_action_occluded_minus_clean,-0.12,0.06475780091099433,0.029118658502885413,1,1,18,0.00015485725743722618
3,knn,optimized_full_occluded_minus_clean,-0.04521739130434782,0.03725962658370183,0.01675397136982837,3,0,17,0.00038522116824767164
3,knn,optimized_action_minus_corrected_degradation,-0.0039130434782608916,0.03395482376203381,0.01526795079115265,10,0,10,0.350068197346325
3,rf,raw_occluded_minus_clean,-0.004782608695652182,0.018746140119400092,0.008429292605755803,7,4,9,0.30831713054367116
3,rf,raw_pca17_occluded_minus_clean,-0.04521739130434783,0.03142488869494373,0.014130353247432424,1,0,19,0.00023338656244445
3,rf,corrected_occluded_minus_clean,-0.04782608695652175,0.03305491792825776,0.014863303778903188,2,1,17,0.00026599275328251584
3,rf,optimized_action_occluded_minus_clean,-0.05521739130434783,0.03842602693896154,0.017278448933066404,1,2,17,0.00023243237461975812
3,rf,optimized_full_occluded_minus_clean,-0.05086956521739128,0.03671532544964495,0.01650922373136055,2,0,18,0.0003237150962837597
3,rf,optimized_action_minus_corrected_degradation,-0.0073913043478260835,0.03370897352382959,0.015157403042025692,8,1,11,0.3039752796784868
3,mlp,raw_occluded_minus_clean,-0.0026086956521739145,0.022524928429545413,0.01012844305265024,7,4,9,0.8355415242251893
3,mlp,raw_pca17_occluded_minus_clean,-0.06304347826086956,0.051287764453217255,0.02306179143640608,2,0,18,0.0004472743487518563
3,mlp,corrected_occluded_minus_clean,-0.17739130434782607,0.06108038027421198,0.027465088520774596,0,0,20,8.782404130245518e-05
3,mlp,optimized_action_occluded_minus_clean,-0.17086956521739133,0.06026250076216256,0.027097325040964546,0,0,20,8.832385863081277e-05
3,mlp,optimized_full_occluded_minus_clean,-0.07391304347826086,0.03844815820771155,0.01728840036513947,0,1,19,0.0001308020996998329
3,mlp,optimized_action_minus_corrected_degradation,0.0065217391304347675,0.040588767105233355,0.018250935513002917,12,0,8,0.41052551258568326
