shot,classifier,feature_set,condition,repeats,accuracy_mean,accuracy_std,accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,kappa_mean,kappa_std,kappa_ci95
3,knn,corrected,clean,20,0.6856521739130435,0.05684023974652414,0.025558488817061915,0.6816971986847584,0.06571615077174724,0.029549585154639787,0.6229919305123246,0.06779114187814142,0.03048261494523848
3,knn,corrected,occluded,20,0.5695652173913043,0.04083254567608311,0.01836055172688041,0.5653450397164883,0.047426613848492706,0.021325606385253496,0.4838185766585316,0.048795322381388145,0.021941052799410544
3,knn,optimized_action,clean,20,0.678695652173913,0.05059009070838675,0.022748079061427954,0.6719062517438948,0.05730564822139932,0.025767761989615532,0.6145427144076205,0.06039397692212474,0.027156443932423995
3,knn,optimized_action,occluded,20,0.558695652173913,0.054711824525518725,0.024601436614841782,0.5531051611635595,0.06110689242863047,0.02747700983928492,0.47059291176058826,0.06588922926041813,0.029627410734491242
3,knn,optimized_full,clean,20,0.4143478260869565,0.050724430641399414,0.02280848566229559,0.40472834766597715,0.05328981262007611,0.02396202208131659,0.29793284709682144,0.06048019069487638,0.027195210372477307
3,knn,optimized_full,occluded,20,0.36913043478260865,0.034616450955414,0.015565454659863994,0.36337675560130195,0.03557286186357048,0.015995509452201996,0.24329251181405703,0.040758786150477434,0.018327385399314736
3,knn,raw,clean,20,0.3456521739130435,0.043813921707029566,0.019701141884244426,0.3329551261117265,0.04476643397545745,0.020129443634365335,0.21322908091500895,0.05202544540297812,0.023393493244651453
3,knn,raw,occluded,20,0.3421739130434783,0.04668804083381322,0.020993503455701307,0.32957486753873927,0.046763900352677176,0.021027614055396143,0.20902093265899913,0.05523593518396476,0.024837105508261872
3,knn,raw_pca17,clean,20,0.5830434782608696,0.07194174286691753,0.03234895276205262,0.5788664605537924,0.07942008316935437,0.03571162466214262,0.4989138919352111,0.08571537765219253,0.03854233428541739
3,knn,raw_pca17,occluded,20,0.5565217391304348,0.07160065687039618,0.03219558179341099,0.5469598651290484,0.08335404393351396,0.037480549153768854,0.46698651042832495,0.08544445551507425,0.0384205128356362
3,mlp,corrected,clean,20,0.7326086956521739,0.06023740053687952,0.027086038603221445,0.7307878634084963,0.06346895253509072,0.028539121594714032,0.6792774565255454,0.07215848974427093,0.0324464140441597
3,mlp,corrected,occluded,20,0.5552173913043478,0.06088664356687202,0.027377973872946153,0.5545286372171734,0.061698649943646905,0.027743096469063512,0.46670568603972323,0.07261661505607771,0.03265241230720086
3,mlp,optimized_action,clean,20,0.7247826086956521,0.05467034736406357,0.024582786208510943,0.7230659313649888,0.0596053611276524,0.02680183902481165,0.6698128055314958,0.06529932077453796,0.0293621555296101
3,mlp,optimized_action,occluded,20,0.5539130434782609,0.05332781950073725,0.02397911205909784,0.550478633284192,0.055285329804512416,0.02485931603838138,0.46489732336355516,0.06397638316855093,0.028767290234194838
3,mlp,optimized_full,clean,20,0.46173913043478254,0.06895931788837163,0.031007890940325297,0.45247684994626536,0.06987077687923794,0.03141773288555903,0.3541242420056346,0.08296336942442006,0.03730488047052059
3,mlp,optimized_full,occluded,20,0.38782608695652177,0.05816344872414137,0.026153476136043696,0.38321151387823466,0.05829153812353667,0.02621107215422779,0.2654904323212808,0.06945716911444545,0.03123175215292595
3,mlp,raw,clean,20,0.39565217391304347,0.04429664565895662,0.019918201044833383,0.38327792069763655,0.04667116333948278,0.020985914408715785,0.27410166396097,0.0534558277749155,0.02403667159893557
3,mlp,raw,occluded,20,0.39304347826086955,0.04915928356557414,0.022104709706864588,0.3801438938661289,0.05086018861912855,0.022869529893831033,0.2708948941641426,0.059491838584853365,0.02675079306417615
3,mlp,raw_pca17,clean,20,0.6382608695652175,0.04852454409844766,0.021819296034356422,0.6356264839770841,0.05285720661995931,0.023767498700249124,0.5655784048995326,0.05818388213842545,0.026162664119641285
3,mlp,raw_pca17,occluded,20,0.5752173913043479,0.06156589289730124,0.02768340162084431,0.5703288611149604,0.06536019071686869,0.0293895259936914,0.48976594962744446,0.07379723615884305,0.03318328429836027
3,rf,corrected,clean,20,0.7747826086956522,0.05681529121363352,0.025547270588537008,0.7759575164319157,0.056797123323188994,0.02553910130869536,0.7298707094755822,0.06793333203607559,0.0305465514377245
3,rf,corrected,occluded,20,0.7269565217391304,0.05631399950849453,0.025321862347878345,0.726821088496898,0.06002826647557037,0.026992000460682408,0.6726673165374006,0.0672326061718333,0.030231466662485523
3,rf,optimized_action,clean,20,0.7682608695652174,0.0484368120720708,0.021779846904214632,0.7688270003350601,0.04955334060268536,0.022281899360201814,0.7220098800817711,0.05792653662496472,0.02604694746437666
3,rf,optimized_action,occluded,20,0.7130434782608697,0.05253498249388943,0.023622609062917008,0.7116007297348592,0.05706562747294683,0.025659835498760768,0.6559833732141551,0.06273827729540235,0.028210569937899083
3,rf,optimized_full,clean,20,0.4834782608695652,0.0697497552353234,0.0313633149178234,0.47822818874455314,0.070549298051658,0.031722833213685256,0.380457858476347,0.08374660706382521,0.037657067064685384
3,rf,optimized_full,occluded,20,0.432608695652174,0.07090423265179244,0.03188243127394642,0.42982978768096114,0.07100835267800197,0.03192924934750444,0.31927735028315174,0.08542556993305521,0.03841202084230559
3,rf,raw,clean,20,0.418695652173913,0.050724430641399414,0.02280848566229559,0.4088576588438867,0.05146185029010042,0.023140069975255122,0.30177895959550527,0.06101124934981306,0.027434003466136503
3,rf,raw,occluded,20,0.41391304347826086,0.048054789146602085,0.021608068447403136,0.40409467311788916,0.049870023225670725,0.02242429723386005,0.2959719097824634,0.05801141387603866,0.026085112930990986
3,rf,raw_pca17,clean,20,0.6686956521739129,0.06395296002851093,0.02875675790594566,0.6692927264943707,0.06751757513026034,0.030359604333432152,0.6024075729855057,0.07673629072123056,0.03450484440261914
3,rf,raw_pca17,occluded,20,0.6234782608695653,0.05807888514607495,0.02611545171401487,0.6193291153587583,0.06427561373253461,0.028901840705083164,0.5481742079721735,0.06984880007536948,0.03140785090936731
3,svm,corrected,clean,20,0.7499999999999999,0.05128776445321727,0.023061791436406087,0.7516110013972871,0.05565348767005467,0.02502486000391243,0.6998207039102671,0.06174686823341074,0.027764778056354536
3,svm,corrected,occluded,20,0.5330434782608696,0.0568950880102803,0.02558315160423696,0.5338065341543252,0.05256226425821717,0.023634876440246685,0.439038439305585,0.0677419255495983,0.030460484584981466
3,svm,optimized_action,clean,20,0.7252173913043478,0.05651504977138059,0.0254122655713439,0.72678995640035,0.060297003922606326,0.02711283955399771,0.6699384871861105,0.0681065695511452,0.030624448524565574
