shot,classifier,feature_set,condition,true_label,predicted_label,count
3,knn,optimized_action,clean,prayer_beads,deer_horn,17
3,knn,optimized_action,clean,prayer_beads,flower_pinch,7
3,knn,optimized_action,clean,prayer_beads,orchid_finger,18
3,knn,optimized_action,clean,prayer_beads,orchid_palm,11
3,knn,optimized_action,clean,prayer_beads,prayer_beads,316
3,knn,optimized_action,clean,prayer_beads,three_finger_bent,4
3,knn,optimized_action,clean,three_finger_bent,deer_horn,3
3,knn,optimized_action,clean,three_finger_bent,flower_pinch,73
3,knn,optimized_action,clean,three_finger_bent,orchid_finger,2
3,knn,optimized_action,clean,three_finger_bent,orchid_palm,6
3,knn,optimized_action,clean,three_finger_bent,prayer_beads,0
3,knn,optimized_action,clean,three_finger_bent,three_finger_bent,276
3,knn,optimized_action,occluded,deer_horn,deer_horn,265
3,knn,optimized_action,occluded,deer_horn,flower_pinch,28
3,knn,optimized_action,occluded,deer_horn,orchid_finger,47
3,knn,optimized_action,occluded,deer_horn,orchid_palm,13
3,knn,optimized_action,occluded,deer_horn,prayer_beads,3
3,knn,optimized_action,occluded,deer_horn,three_finger_bent,24
3,knn,optimized_action,occluded,flower_pinch,deer_horn,54
3,knn,optimized_action,occluded,flower_pinch,flower_pinch,176
3,knn,optimized_action,occluded,flower_pinch,orchid_finger,27
3,knn,optimized_action,occluded,flower_pinch,orchid_palm,47
3,knn,optimized_action,occluded,flower_pinch,prayer_beads,6
3,knn,optimized_action,occluded,flower_pinch,three_finger_bent,70
3,knn,optimized_action,occluded,orchid_finger,deer_horn,87
3,knn,optimized_action,occluded,orchid_finger,flower_pinch,21
3,knn,optimized_action,occluded,orchid_finger,orchid_finger,198
3,knn,optimized_action,occluded,orchid_finger,orchid_palm,35
3,knn,optimized_action,occluded,orchid_finger,prayer_beads,5
3,knn,optimized_action,occluded,orchid_finger,three_finger_bent,21
3,knn,optimized_action,occluded,orchid_palm,deer_horn,36
3,knn,optimized_action,occluded,orchid_palm,flower_pinch,76
3,knn,optimized_action,occluded,orchid_palm,orchid_finger,63
3,knn,optimized_action,occluded,orchid_palm,orchid_palm,189
3,knn,optimized_action,occluded,orchid_palm,prayer_beads,39
3,knn,optimized_action,occluded,orchid_palm,three_finger_bent,37
3,knn,optimized_action,occluded,prayer_beads,deer_horn,39
3,knn,optimized_action,occluded,prayer_beads,flower_pinch,21
3,knn,optimized_action,occluded,prayer_beads,orchid_finger,27
3,knn,optimized_action,occluded,prayer_beads,orchid_palm,43
3,knn,optimized_action,occluded,prayer_beads,prayer_beads,215
3,knn,optimized_action,occluded,prayer_beads,three_finger_bent,28
3,knn,optimized_action,occluded,three_finger_bent,deer_horn,21
3,knn,optimized_action,occluded,three_finger_bent,flower_pinch,53
3,knn,optimized_action,occluded,three_finger_bent,orchid_finger,19
3,knn,optimized_action,occluded,three_finger_bent,orchid_palm,20
3,knn,optimized_action,occluded,three_finger_bent,prayer_beads,5
3,knn,optimized_action,occluded,three_finger_bent,three_finger_bent,242
3,knn,optimized_full,clean,deer_horn,deer_horn,151
3,knn,optimized_full,clean,deer_horn,flower_pinch,35
3,knn,optimized_full,clean,deer_horn,orchid_finger,66
3,knn,optimized_full,clean,deer_horn,orchid_palm,35
3,knn,optimized_full,clean,deer_horn,prayer_beads,22
3,knn,optimized_full,clean,deer_horn,three_finger_bent,71
3,knn,optimized_full,clean,flower_pinch,deer_horn,45
3,knn,optimized_full,clean,flower_pinch,flower_pinch,117
3,knn,optimized_full,clean,flower_pinch,orchid_finger,51
3,knn,optimized_full,clean,flower_pinch,orchid_palm,63
3,knn,optimized_full,clean,flower_pinch,prayer_beads,16
3,knn,optimized_full,clean,flower_pinch,three_finger_bent,88
3,knn,optimized_full,clean,orchid_finger,deer_horn,57
3,knn,optimized_full,clean,orchid_finger,flower_pinch,51
3,knn,optimized_full,clean,orchid_finger,orchid_finger,119
3,knn,optimized_full,clean,orchid_finger,orchid_palm,67
3,knn,optimized_full,clean,orchid_finger,prayer_beads,28
3,knn,optimized_full,clean,orchid_finger,three_finger_bent,45
3,knn,optimized_full,clean,orchid_palm,deer_horn,54
3,knn,optimized_full,clean,orchid_palm,flower_pinch,48
3,knn,optimized_full,clean,orchid_palm,orchid_finger,76
3,knn,optimized_full,clean,orchid_palm,orchid_palm,152
3,knn,optimized_full,clean,orchid_palm,prayer_beads,60
3,knn,optimized_full,clean,orchid_palm,three_finger_bent,50
3,knn,optimized_full,clean,prayer_beads,deer_horn,21
3,knn,optimized_full,clean,prayer_beads,flower_pinch,19
3,knn,optimized_full,clean,prayer_beads,orchid_finger,37
3,knn,optimized_full,clean,prayer_beads,orchid_palm,15
3,knn,optimized_full,clean,prayer_beads,prayer_beads,256
3,knn,optimized_full,clean,prayer_beads,three_finger_bent,25
3,knn,optimized_full,clean,three_finger_bent,deer_horn,40
3,knn,optimized_full,clean,three_finger_bent,flower_pinch,74
3,knn,optimized_full,clean,three_finger_bent,orchid_finger,54
3,knn,optimized_full,clean,three_finger_bent,orchid_palm,22
3,knn,optimized_full,clean,three_finger_bent,prayer_beads,12
