repeat,shot,num_train,num_test,classifier,feature_set,condition,accuracy,macro_f1,kappa
0,3,18,115,svm,raw,clean,0.3565217391304348,0.34723280524922795,0.22268907563025198
0,3,18,115,svm,raw,occluded,0.34782608695652173,0.3401285957673357,0.21333454943451313
0,3,18,115,knn,raw,clean,0.3217391304347826,0.31448220093897256,0.1826134499726625
0,3,18,115,knn,raw,occluded,0.34782608695652173,0.34034977100194497,0.21376481312670903
0,3,18,115,rf,raw,clean,0.40869565217391307,0.4112486859545683,0.2904455131113328
0,3,18,115,rf,raw,occluded,0.40869565217391307,0.4094788925671278,0.2905098893122845
0,3,18,115,mlp,raw,clean,0.4260869565217391,0.41926038286332407,0.31025081788440567
0,3,18,115,mlp,raw,occluded,0.3565217391304348,0.3512636012636013,0.2267853897873886
0,3,18,115,svm,raw_pca17,clean,0.6260869565217392,0.6280803305293393,0.550658791458428
0,3,18,115,svm,raw_pca17,occluded,0.5391304347826087,0.5473656424875937,0.44666364049024077
0,3,18,115,knn,raw_pca17,clean,0.6086956521739131,0.6086472307422209,0.5292458837442009
0,3,18,115,knn,raw_pca17,occluded,0.6260869565217392,0.6313618642566011,0.5514739229024943
0,3,18,115,rf,raw_pca17,clean,0.6956521739130435,0.7031739931782376,0.6352514725872225
0,3,18,115,rf,raw_pca17,occluded,0.6434782608695652,0.6497640417573228,0.5729553482474414
0,3,18,115,mlp,raw_pca17,clean,0.6695652173913044,0.6887999652705535,0.6043816766250225
0,3,18,115,mlp,raw_pca17,occluded,0.591304347826087,0.6102418689748911,0.5108597285067873
0,3,18,115,svm,corrected,clean,0.782608695652174,0.789004277834065,0.7385412877409967
0,3,18,115,svm,corrected,occluded,0.5565217391304348,0.5674950812881848,0.4667697063369397
0,3,18,115,knn,corrected,clean,0.6869565217391305,0.6812048377513272,0.6242171189979123
0,3,18,115,knn,corrected,occluded,0.6086956521739131,0.6082717418083272,0.5318860244233379
0,3,18,115,rf,corrected,clean,0.808695652173913,0.8114131482552535,0.7705839680812477
0,3,18,115,rf,corrected,occluded,0.7565217391304347,0.7563331181662236,0.7084389713871786
0,3,18,115,mlp,corrected,clean,0.782608695652174,0.7827116210243146,0.7388974661701935
0,3,18,115,mlp,corrected,occluded,0.6608695652173913,0.6637019738991716,0.5927540179787524
0,3,18,115,svm,optimized_action,clean,0.7913043478260869,0.7987554187804501,0.749159320185404
0,3,18,115,svm,optimized_action,occluded,0.5478260869565217,0.5588994338994339,0.4563636363636363
0,3,18,115,knn,optimized_action,clean,0.7043478260869566,0.6985544440697864,0.6453514739229025
0,3,18,115,knn,optimized_action,occluded,0.5739130434782609,0.5743599115309641,0.4898605830164765
0,3,18,115,rf,optimized_action,clean,0.808695652173913,0.8132199946224336,0.7707087185064347
0,3,18,115,rf,optimized_action,occluded,0.7043478260869566,0.707020328683677,0.6459616081130026
0,3,18,115,mlp,optimized_action,clean,0.7478260869565218,0.7537994165901143,0.6975056689342403
0,3,18,115,mlp,optimized_action,occluded,0.6,0.5959810160110236,0.5203119332607907
0,3,18,115,svm,optimized_full,clean,0.5304347826086957,0.5220700546498418,0.4351464435146444
0,3,18,115,svm,optimized_full,occluded,0.4260869565217391,0.4265483750154387,0.3106893106893106
0,3,18,115,knn,optimized_full,clean,0.4,0.3724031427163732,0.2829387312488705
0,3,18,115,knn,optimized_full,occluded,0.3739130434782609,0.36192184622797224,0.2522351666215117
0,3,18,115,rf,optimized_full,clean,0.45217391304347826,0.45828277317639016,0.3433931484502447
0,3,18,115,rf,optimized_full,occluded,0.391304347826087,0.40025143723019413,0.2708993750566073
0,3,18,115,mlp,optimized_full,clean,0.48695652173913045,0.4872987777012545,0.3849709934735315
0,3,18,115,mlp,optimized_full,occluded,0.391304347826087,0.4014752574061519,0.2714932126696833
1,3,18,115,svm,raw,clean,0.4260869565217391,0.43212378447313887,0.30974899963623126
1,3,18,115,svm,raw,occluded,0.4260869565217391,0.4300134527495209,0.30974899963623137
1,3,18,115,knn,raw,clean,0.3565217391304348,0.349771027345398,0.22339843037050555
1,3,18,115,knn,raw,occluded,0.3652173913043478,0.3551813137178991,0.23417259624156173
1,3,18,115,rf,raw,clean,0.4434782608695652,0.44893486143486144,0.3298124203241669
1,3,18,115,rf,raw,occluded,0.41739130434782606,0.42222002907486783,0.2984612583082946
1,3,18,115,mlp,raw,clean,0.41739130434782606,0.4170149167268982,0.2982695810564663
1,3,18,115,mlp,raw,occluded,0.43478260869565216,0.4336386205045626,0.319526627218935
1,3,18,115,svm,raw_pca17,clean,0.6,0.6046815231468932,0.5205727750589089
1,3,18,115,svm,raw_pca17,occluded,0.5304347826086957,0.5485972338609256,0.4379581862612001
1,3,18,115,knn,raw_pca17,clean,0.6086956521739131,0.6204729401914166,0.5303140315846796
1,3,18,115,knn,raw_pca17,occluded,0.5565217391304348,0.5439830519175647,0.46570101120524743
1,3,18,115,rf,raw_pca17,clean,0.6695652173913044,0.6863172003218633,0.6025466120964075
1,3,18,115,rf,raw_pca17,occluded,0.6086956521739131,0.6279668600478986,0.5297164667393675
1,3,18,115,mlp,raw_pca17,clean,0.6434782608695652,0.6429809772267017,0.5719862018881627
1,3,18,115,mlp,raw_pca17,occluded,0.5478260869565217,0.5424001129883483,0.4562647754137116
1,3,18,115,svm,corrected,clean,0.7565217391304347,0.7676359460757135,0.7071928707829408
1,3,18,115,svm,corrected,occluded,0.5217391304347826,0.5232931319887842,0.42332239241429614
1,3,18,115,knn,corrected,clean,0.7130434782608696,0.7169152880836495,0.6555636231620985
1,3,18,115,knn,corrected,occluded,0.5565217391304348,0.5700103046560622,0.46730245231607626
1,3,18,115,rf,corrected,clean,0.8,0.8038972233910675,0.7596547024079964
1,3,18,115,rf,corrected,occluded,0.7130434782608696,0.7226360241066123,0.6553446553446554
1,3,18,115,mlp,corrected,clean,0.7478260869565218,0.7593826679192532,0.697423335147886
1,3,18,115,mlp,corrected,occluded,0.5130434782608696,0.5249084586812782,0.41587301587301584
1,3,18,115,svm,optimized_action,clean,0.6869565217391305,0.6994564784101386,0.622159350187095
1,3,18,115,svm,optimized_action,occluded,0.5304347826086957,0.5291974294057588,0.430222956234517
1,3,18,115,knn,optimized_action,clean,0.6434782608695652,0.6403947791142913,0.5714025997636578
1,3,18,115,knn,optimized_action,occluded,0.48695652173913045,0.4992121002990568,0.3832939465551717
1,3,18,115,rf,optimized_action,clean,0.808695652173913,0.813580879506274,0.770250635670178
1,3,18,115,rf,optimized_action,occluded,0.7217391304347827,0.7321388525439539,0.6659404502541757
1,3,18,115,mlp,optimized_action,clean,0.7478260869565218,0.759907750491982,0.6972310485701316
1,3,18,115,mlp,optimized_action,occluded,0.4956521739130435,0.5156091407815546,0.39435212930173424
1,3,18,115,svm,optimized_full,clean,0.4,0.40717506102909057,0.2788985823336968
1,3,18,115,svm,optimized_full,occluded,0.3739130434782609,0.37523860728455394,0.24706738201327627
1,3,18,115,knn,optimized_full,clean,0.3826086956521739,0.3723712377047281,0.2612196887441188
1,3,18,115,knn,optimized_full,occluded,0.3391304347826087,0.34663869801503594,0.20595984373580456
1,3,18,115,rf,optimized_full,clean,0.5565217391304348,0.5624895572263994,0.46822014688548375
1,3,18,115,rf,optimized_full,occluded,0.48695652173913045,0.5023536893755223,0.3841336116910229
1,3,18,115,mlp,optimized_full,clean,0.45217391304347826,0.44086003102011434,0.34273791163929956
1,3,18,115,mlp,optimized_full,occluded,0.3652173913043478,0.37241816066952677,0.23737281976744184
2,3,18,115,svm,raw,clean,0.4260869565217391,0.3889519109908915,0.31368116466226603
2,3,18,115,svm,raw,occluded,0.41739130434782606,0.3802427342120414,0.30315637152934793
2,3,18,115,knn,raw,clean,0.3565217391304348,0.34057423924540425,0.2273470128926819
2,3,18,115,knn,raw,occluded,0.3130434782608696,0.3042314932190113,0.1761131767479821
2,3,18,115,rf,raw,clean,0.43478260869565216,0.41095544497992437,0.32444645277903295
2,3,18,115,rf,raw,occluded,0.43478260869565216,0.41095544497992437,0.32444645277903295
2,3,18,115,mlp,raw,clean,0.3739130434782609,0.3534830787364294,0.2507465387747716
2,3,18,115,mlp,raw,occluded,0.4,0.3808633704024354,0.2813150982700844
2,3,18,115,svm,raw_pca17,clean,0.7130434782608696,0.7105441671618142,0.6548744998181156
2,3,18,115,svm,raw_pca17,occluded,0.6782608695652174,0.671900871459695,0.6128298453139217
2,3,18,115,knn,raw_pca17,clean,0.6086956521739131,0.607090259108043,0.5309525967551889
2,3,18,115,knn,raw_pca17,occluded,0.6521739130434783,0.6524346787504682,0.5829555757026292
2,3,18,115,rf,raw_pca17,clean,0.6260869565217392,0.6287762592895708,0.5515146018501722
2,3,18,115,rf,raw_pca17,occluded,0.6608695652173913,0.6537168882437424,0.5928279618701771
2,3,18,115,mlp,raw_pca17,clean,0.6260869565217392,0.6166155068594094,0.5526506242084314
2,3,18,115,mlp,raw_pca17,occluded,0.6173913043478261,0.5984747992216323,0.5423299565846599
2,3,18,115,svm,corrected,clean,0.8521739130434782,0.8516543884964939,0.8224180216186756
2,3,18,115,svm,corrected,occluded,0.5652173913043478,0.5426482873851294,0.4731537474803006
2,3,18,115,knn,corrected,clean,0.782608695652174,0.781475419773292,0.7394417255754939
2,3,18,115,knn,corrected,occluded,0.5739130434782609,0.5693475222243428,0.48833197130663764
2,3,18,115,rf,corrected,clean,0.8,0.7964268309663046,0.7602211948146134
2,3,18,115,rf,corrected,occluded,0.7652173913043478,0.7619630398431645,0.7182139940103458
2,3,18,115,mlp,corrected,clean,0.782608695652174,0.7785582529484968,0.7393236014144529
2,3,18,115,mlp,corrected,occluded,0.5304347826086957,0.5121173936504947,0.43463219227967964
2,3,18,115,svm,optimized_action,clean,0.808695652173913,0.8091257421604565,0.770500725689405
2,3,18,115,svm,optimized_action,occluded,0.5391304347826087,0.5153296137389575,0.44312471448149837
2,3,18,115,knn,optimized_action,clean,0.7652173913043478,0.7624426117847172,0.7185715580531133
2,3,18,115,knn,optimized_action,occluded,0.6086956521739131,0.6046089779531748,0.5306973791602431
2,3,18,115,rf,optimized_action,clean,0.782608695652174,0.7828548112493269,0.7393236014144527
2,3,18,115,rf,optimized_action,occluded,0.7565217391304347,0.7542338836167728,0.7072993364239615
2,3,18,115,mlp,optimized_action,clean,0.782608695652174,0.7794734177712902,0.7392763217556906
2,3,18,115,mlp,optimized_action,occluded,0.5391304347826087,0.5063038083185549,0.44525348138709386
2,3,18,115,svm,optimized_full,clean,0.4608695652173913,0.46897570476001854,0.35399112077557293
2,3,18,115,svm,optimized_full,occluded,0.41739130434782606,0.43797560614799586,0.30043580897040123
2,3,18,115,knn,optimized_full,clean,0.41739130434782606,0.365467058245516,0.30328239442987615
2,3,18,115,knn,optimized_full,occluded,0.3826086956521739,0.3562840366498903,0.2596118969894814
2,3,18,115,rf,optimized_full,clean,0.5565217391304348,0.5418054014058453,0.4686055993476489
2,3,18,115,rf,optimized_full,occluded,0.5043478260869565,0.49003491650550474,0.4034944034944036
2,3,18,115,mlp,optimized_full,clean,0.48695652173913045,0.4512759458441371,0.3861395096353931
2,3,18,115,mlp,optimized_full,occluded,0.4434782608695652,0.4145614454437984,0.33163821285869954
3,3,18,115,svm,raw,clean,0.40869565217391307,0.3716271793256685,0.2853226101261195
3,3,18,115,svm,raw,occluded,0.40869565217391307,0.3715714752258468,0.28525728909606074
3,3,18,115,knn,raw,clean,0.3739130434782609,0.3509329459789035,0.24445661100465366
3,3,18,115,knn,raw,occluded,0.3565217391304348,0.3254460074918479,0.2237526224573566
3,3,18,115,rf,raw,clean,0.3130434782608696,0.3101803394751433,0.17544018878199297
3,3,18,115,rf,raw,occluded,0.3217391304347826,0.31776836228055744,0.18587765474677787
3,3,18,115,mlp,raw,clean,0.3826086956521739,0.3494366744366744,0.2558330295297121
3,3,18,115,mlp,raw,occluded,0.3652173913043478,0.3421963361210673,0.23563689338067928
3,3,18,115,svm,raw_pca17,clean,0.5391304347826087,0.5135786170036497,0.4451524806554392
3,3,18,115,svm,raw_pca17,occluded,0.5391304347826087,0.5095577574840248,0.44464692482915724
3,3,18,115,knn,raw_pca17,clean,0.5130434782608696,0.49440702087286525,0.4139060793593011
3,3,18,115,knn,raw_pca17,occluded,0.4608695652173913,0.44032453995894366,0.3511693511693511
3,3,18,115,rf,raw_pca17,clean,0.5565217391304348,0.557469654528478,0.46540880503144655
3,3,18,115,rf,raw_pca17,occluded,0.5130434782608696,0.49927886048036235,0.4119795471146822
3,3,18,115,mlp,raw_pca17,clean,0.5565217391304348,0.5361040318701609,0.4651162790697674
3,3,18,115,mlp,raw_pca17,occluded,0.4956521739130435,0.47511758928308717,0.3913122832633691
3,3,18,115,svm,corrected,clean,0.6434782608695652,0.6171255842308474,0.5684210526315789
3,3,18,115,svm,corrected,occluded,0.48695652173913045,0.48453703703703704,0.3743660673121255
3,3,18,115,knn,corrected,clean,0.6086956521739131,0.6113122171945701,0.5306548158897152
3,3,18,115,knn,corrected,occluded,0.5130434782608696,0.5134525613518411,0.4150772025431426
3,3,18,115,rf,corrected,clean,0.6434782608695652,0.6422188697618618,0.5723743878106293
3,3,18,115,rf,corrected,occluded,0.6434782608695652,0.6425383425383425,0.5717140521391588
3,3,18,115,mlp,corrected,clean,0.6173913043478261,0.6097236097236097,0.5403760559542192
3,3,18,115,mlp,corrected,occluded,0.5391304347826087,0.5376271876271875,0.44434314887409976
3,3,18,115,svm,optimized_action,clean,0.6,0.581981062725607,0.5156564731734116
3,3,18,115,svm,optimized_action,occluded,0.4434782608695652,0.4365538675883503,0.32222119900543345
3,3,18,115,knn,optimized_action,clean,0.6086956521739131,0.5930546033944837,0.5303992740471869
3,3,18,115,knn,optimized_action,occluded,0.4956521739130435,0.4862958244948972,0.39413207375783454
3,3,18,115,rf,optimized_action,clean,0.6608695652173913,0.655015405015405,0.5933079434167572
3,3,18,115,rf,optimized_action,occluded,0.6347826086956522,0.6257624728212964,0.5610687022900763
3,3,18,115,mlp,optimized_action,clean,0.6260869565217392,0.6196103429255334,0.5506996183899692
3,3,18,115,mlp,optimized_action,occluded,0.48695652173913045,0.4661469549661414,0.3811565122218169
3,3,18,115,svm,optimized_full,clean,0.4,0.4042179819490744,0.2777170944838887
3,3,18,115,svm,optimized_full,occluded,0.391304347826087,0.3950818962812966,0.2647730386336652
3,3,18,115,knn,optimized_full,clean,0.41739130434782606,0.4187348452431893,0.30119717032468707
3,3,18,115,knn,optimized_full,occluded,0.40869565217391307,0.3993643244113168,0.2887029288702929
3,3,18,115,rf,optimized_full,clean,0.4260869565217391,0.3948045529325858,0.31012543173968377
3,3,18,115,rf,optimized_full,occluded,0.4608695652173913,0.4247230943659515,0.3511103021477975
3,3,18,115,mlp,optimized_full,clean,0.4434782608695652,0.4188123764423959,0.3312738506269308
3,3,18,115,mlp,optimized_full,occluded,0.4260869565217391,0.3936371100164204,0.30999999999999994
4,3,18,115,svm,raw,clean,0.4260869565217391,0.4305947766703581,0.3123131285675457
4,3,18,115,svm,raw,occluded,0.40869565217391307,0.41365648345961437,0.29160250022646983
4,3,18,115,knn,raw,clean,0.3391304347826087,0.33455194231056296,0.20682457573282498
4,3,18,115,knn,raw,occluded,0.3391304347826087,0.3318526836021765,0.20581553839164024
4,3,18,115,rf,raw,clean,0.48695652173913045,0.4889006798035526,0.3842453943189037
4,3,18,115,rf,raw,occluded,0.4956521739130435,0.4981895197103232,0.395066207146744
4,3,18,115,mlp,raw,clean,0.43478260869565216,0.44046845473628954,0.3232231779085559
4,3,18,115,mlp,raw,occluded,0.43478260869565216,0.4363102155509526,0.32316189786309313
4,3,18,115,svm,raw_pca17,clean,0.6260869565217392,0.6332950349472773,0.5524481853561408
4,3,18,115,svm,raw_pca17,occluded,0.5478260869565217,0.5618750579975101,0.46014263789834786
4,3,18,115,knn,raw_pca17,clean,0.6260869565217392,0.6270436841247227,0.549963596650892
4,3,18,115,knn,raw_pca17,occluded,0.6173913043478261,0.6199158170789377,0.540250772306015
4,3,18,115,rf,raw_pca17,clean,0.7391304347826086,0.7445439579340508,0.6870180531615713
4,3,18,115,rf,raw_pca17,occluded,0.6608695652173913,0.6655944682260472,0.5935290918977705
4,3,18,115,mlp,raw_pca17,clean,0.6347826086956522,0.6362234613376506,0.5615468409586056
4,3,18,115,mlp,raw_pca17,occluded,0.6869565217391305,0.6977644780480722,0.6253732693873857
4,3,18,115,svm,corrected,clean,0.7652173913043478,0.7677137677137676,0.7192839707078926
4,3,18,115,svm,corrected,occluded,0.5652173913043478,0.5633023422935316,0.48123421147600143
4,3,18,115,knn,corrected,clean,0.7391304347826086,0.7517594914982796,0.686847599164927
4,3,18,115,knn,corrected,occluded,0.6521739130434783,0.6557563655350985,0.5833710714609184
4,3,18,115,rf,corrected,clean,0.8608695652173913,0.8634828942274385,0.8330914368650217
4,3,18,115,rf,corrected,occluded,0.808695652173913,0.81565610913437,0.7706671501087745
4,3,18,115,mlp,corrected,clean,0.7739130434782608,0.7736326109391124,0.7293137787434365
4,3,18,115,mlp,corrected,occluded,0.5826086956521739,0.5801348038769499,0.5012198427758199
4,3,18,115,svm,optimized_action,clean,0.7652173913043478,0.7672838009000996,0.7192078133478026
