shot,num_train,classifier,feature_set,repeats,accuracy_mean,accuracy_std,accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,kappa_mean,kappa_std,kappa_ci95
1,6,knn,corrected,2,0.6000000000000001,0.026086956521739146,0.051130434782608716,0.5855313897530869,0.026760694030058485,0.05245096029891462,0.5197517699056959,0.0318848245271629,0.06249425607323929
1,6,knn,joint_angle,2,0.5652173913043479,0.08695652173913043,0.17043478260869563,0.5623368097942099,0.07723357469097472,0.15137780639431045,0.4756880501521583,0.1081353462108201,0.2119452785732074
1,6,knn,optimized_action,2,0.5652173913043479,0.06086956521739134,0.11930434782608702,0.5407035328226992,0.055760877471498216,0.1092913198441365,0.47742294254788215,0.07360302440327088,0.1442619278304109
1,6,knn,raw,2,0.32608695652173914,0.030434782608695643,0.059652173913043456,0.28435693926964517,0.011809896258892505,0.023147396667429307,0.1857586591636594,0.03714335891688114,0.07280098347708704
1,6,knn,raw_pca11,2,0.5130434782608696,0.0,0.0,0.4739629979960758,0.015991408981745392,0.031343161604220966,0.41421894314683744,0.0020247116754975036,0.0039684348839751065
1,6,knn,raw_pca17,2,0.4739130434782609,0.004347826086956524,0.008521739130434787,0.44051394020281803,0.03237777245763007,0.06346043401695493,0.36594583362227723,0.009110773569100339,0.017857116195436663
1,6,mlp,corrected,2,0.5173913043478261,0.013043478260869601,0.025565217391304417,0.5114846816601202,0.019671816163044226,0.038556759679566684,0.4225267108299977,0.015685700966636906,0.030743973894608336
1,6,mlp,joint_angle,2,0.5521739130434783,0.08260869565217391,0.16191304347826085,0.5447957845246325,0.0753594674170826,0.1477045561374819,0.46012174837236824,0.10305090243707365,0.20197976877666432
1,6,mlp,optimized_action,2,0.5304347826086957,0.05217391304347824,0.10226086956521735,0.5196425071841481,0.053527668810161466,0.10491423086791646,0.43860722550913694,0.06270273925732789,0.12289736894436266
1,6,mlp,raw,2,0.30434782608695654,0.043478260869565216,0.08521739130434781,0.26174298208289437,0.020516116842871246,0.040211589012027635,0.15847316533979067,0.053783661767707824,0.10541597706470732
1,6,mlp,raw_pca11,2,0.4652173913043478,0.03043478260869567,0.05965217391304351,0.4218581261450054,0.03952124456106937,0.07746163933969595,0.35552192782092285,0.0350673823663773,0.0687320694380995
1,6,mlp,raw_pca17,2,0.4173913043478261,0.02608695652173912,0.051130434782608675,0.3719690555608143,0.015669764896022093,0.030712739196203296,0.3006121237525909,0.03017529214120801,0.059143572596767696
1,6,rf,corrected,2,0.6130434782608696,0.030434782608695643,0.059652173913043456,0.6018765705685211,0.02571661940856984,0.05040457404079689,0.5347905634190793,0.03715678111110693,0.07282729097776958
1,6,rf,joint_angle,2,0.5956521739130435,0.03913043478260869,0.07669565217391304,0.595101209743841,0.0452392835378288,0.08866899573414445,0.5125687889367913,0.04794076520333623,0.093963899798539
1,6,rf,optimized_action,2,0.5956521739130435,0.004347826086956497,0.008521739130434733,0.5896546334889035,0.004383421657317144,0.0085915064483416,0.5139315322210912,0.005071922952576746,0.009940968987050422
1,6,rf,raw,2,0.29565217391304344,0.02608695652173912,0.051130434782608675,0.2617036337345876,0.0010422708719669271,0.0020428509090551768,0.14984985320164346,0.03171948986404993,0.062170200133537856
1,6,rf,raw_pca11,2,0.4478260869565217,0.05652173913043476,0.11078260869565212,0.4166688200750438,0.05841535500913125,0.11449409581789725,0.3347260471324819,0.06914808891699065,0.13553025427730164
1,6,rf,raw_pca17,2,0.408695652173913,0.052173913043478265,0.10226086956521739,0.3628525934055586,0.070175230661502,0.1375434520965439,0.28630099479784604,0.06297344163548418,0.123427945605549
1,6,svm,corrected,2,0.6000000000000001,0.026086956521739146,0.051130434782608716,0.5855313897530869,0.026760694030058485,0.05245096029891462,0.5197517699056959,0.0318848245271629,0.06249425607323929
1,6,svm,joint_angle,2,0.5652173913043479,0.08695652173913043,0.17043478260869563,0.5623368097942099,0.07723357469097472,0.15137780639431045,0.4756880501521583,0.1081353462108201,0.2119452785732074
1,6,svm,optimized_action,2,0.5652173913043479,0.06086956521739134,0.11930434782608702,0.5407035328226992,0.055760877471498216,0.1092913198441365,0.47742294254788215,0.07360302440327088,0.1442619278304109
1,6,svm,raw,2,0.32608695652173914,0.030434782608695643,0.059652173913043456,0.28435693926964517,0.011809896258892505,0.023147396667429307,0.1857586591636594,0.03714335891688114,0.07280098347708704
1,6,svm,raw_pca11,2,0.5130434782608696,0.0,0.0,0.4739629979960758,0.015991408981745392,0.031343161604220966,0.41421894314683744,0.0020247116754975036,0.0039684348839751065
1,6,svm,raw_pca17,2,0.4739130434782609,0.004347826086956524,0.008521739130434787,0.44051394020281803,0.03237777245763007,0.06346043401695493,0.36594583362227723,0.009110773569100339,0.017857116195436663
3,18,knn,corrected,2,0.7,0.013043478260869545,0.02556521739130431,0.6990600629174883,0.017855225166161115,0.03499624132567578,0.6398903710800055,0.01567325208209308,0.030719574080902434
3,18,knn,joint_angle,2,0.7043478260869565,0.008695652173913049,0.017043478260869573,0.6969952402798147,0.0053322932977188375,0.01045129486352892,0.6446461902815475,0.009031488126921283,0.017701716728765714
3,18,knn,optimized_action,2,0.6739130434782609,0.0304347826086957,0.05965217391304356,0.6694746115920389,0.029079832477747536,0.05699647165638517,0.6083770368432802,0.036974437079622335,0.07246989667605978
3,18,knn,raw,2,0.3391304347826087,0.017391304347826098,0.03408695652173915,0.33212661414218525,0.017644413203212722,0.03458304987829693,0.20300594017158402,0.02039249019892153,0.0399692807898862
