repeat,shot,num_train,num_test,classifier,feature_set,accuracy,macro_f1,kappa
0,1,6,115,svm,raw,0.3565217391304348,0.2961668355285377,0.22290201808054055
0,1,6,115,knn,raw,0.3565217391304348,0.2961668355285377,0.22290201808054055
0,1,6,115,rf,raw,0.3217391304347826,0.2606613628626207,0.1815693430656934
0,1,6,115,mlp,raw,0.34782608695652173,0.2822590989257656,0.2122568271074985
0,1,6,115,svm,raw_pca11,0.5130434782608696,0.48995440697782117,0.41624365482233494
0,1,6,115,knn,raw_pca11,0.5130434782608696,0.48995440697782117,0.41624365482233494
0,1,6,115,rf,raw_pca11,0.5043478260869565,0.47508417508417505,0.40387413604947253
0,1,6,115,mlp,raw_pca11,0.43478260869565216,0.38233688158393603,0.32045454545454555
0,1,6,115,svm,raw_pca17,0.4782608695652174,0.4728917126604481,0.37505660719137757
0,1,6,115,knn,raw_pca17,0.4782608695652174,0.4728917126604481,0.37505660719137757
0,1,6,115,rf,raw_pca17,0.4608695652173913,0.4330278240670606,0.3492744364333302
0,1,6,115,mlp,raw_pca17,0.391304347826087,0.35629929066479216,0.2704368316113829
0,1,6,115,svm,joint_angle,0.6521739130434783,0.6395703844851846,0.5838233963629784
0,1,6,115,knn,joint_angle,0.6521739130434783,0.6395703844851846,0.5838233963629784
0,1,6,115,rf,joint_angle,0.6347826086956522,0.6403404932816698,0.5605095541401275
0,1,6,115,mlp,joint_angle,0.6347826086956522,0.6201552519417152,0.5631726508094419
0,1,6,115,svm,corrected,0.6260869565217392,0.6122920837831454,0.5516365944328588
0,1,6,115,knn,corrected,0.6260869565217392,0.6122920837831454,0.5516365944328588
0,1,6,115,rf,corrected,0.6434782608695652,0.6275931899770909,0.5719473445301861
0,1,6,115,mlp,corrected,0.5304347826086957,0.5311564978231644,0.4382124117966346
0,1,6,115,svm,optimized_action,0.6260869565217392,0.5964644102941975,0.551025966951153
0,1,6,115,knn,optimized_action,0.6260869565217392,0.5964644102941975,0.551025966951153
0,1,6,115,rf,optimized_action,0.6,0.5852712118315863,0.519003455173668
0,1,6,115,mlp,optimized_action,0.5826086956521739,0.5731701759943095,0.5013099647664648
0,3,18,115,svm,raw,0.3565217391304348,0.34723280524922795,0.22268907563025198
0,3,18,115,knn,raw,0.3217391304347826,0.31448220093897256,0.1826134499726625
0,3,18,115,rf,raw,0.40869565217391307,0.4112486859545683,0.2904455131113328
0,3,18,115,mlp,raw,0.4260869565217391,0.41926038286332407,0.31025081788440567
0,3,18,115,svm,raw_pca11,0.5565217391304348,0.5669125588047011,0.46754425783023146
0,3,18,115,knn,raw_pca11,0.5304347826086957,0.5243643217520927,0.43545454545454554
0,3,18,115,rf,raw_pca11,0.6086956521739131,0.6086153746000293,0.5312075369145755
0,3,18,115,mlp,raw_pca11,0.6,0.5979802397937779,0.5206596592968467
0,3,18,115,svm,raw_pca17,0.6260869565217392,0.6280803305293393,0.550658791458428
0,3,18,115,knn,raw_pca17,0.6086956521739131,0.6086472307422209,0.5292458837442009
0,3,18,115,rf,raw_pca17,0.6956521739130435,0.7031739931782376,0.6352514725872225
0,3,18,115,mlp,raw_pca17,0.6695652173913044,0.6887999652705535,0.6043816766250225
0,3,18,115,svm,joint_angle,0.7304347826086957,0.7474946458178165,0.6766146589259796
0,3,18,115,knn,joint_angle,0.6956521739130435,0.691662946982096,0.6356147021546261
0,3,18,115,rf,joint_angle,0.7739130434782608,0.7757157556296724,0.7290439510647939
0,3,18,115,mlp,joint_angle,0.7217391304347827,0.7206252402680974,0.6667572217694467
0,3,18,115,svm,corrected,0.782608695652174,0.789004277834065,0.7385412877409967
0,3,18,115,knn,corrected,0.6869565217391305,0.6812048377513272,0.6242171189979123
0,3,18,115,rf,corrected,0.808695652173913,0.8114131482552535,0.7705839680812477
0,3,18,115,mlp,corrected,0.782608695652174,0.7827116210243146,0.7388974661701935
0,3,18,115,svm,optimized_action,0.7913043478260869,0.7987554187804501,0.749159320185404
0,3,18,115,knn,optimized_action,0.7043478260869566,0.6985544440697864,0.6453514739229025
0,3,18,115,rf,optimized_action,0.808695652173913,0.8132199946224336,0.7707087185064347
0,3,18,115,mlp,optimized_action,0.7478260869565218,0.7537994165901143,0.6975056689342403
1,1,6,115,svm,raw,0.2956521739130435,0.27254704301075267,0.14861530024677827
1,1,6,115,knn,raw,0.2956521739130435,0.27254704301075267,0.14861530024677827
1,1,6,115,rf,raw,0.26956521739130435,0.26274590460655456,0.11813036333759352
1,1,6,115,mlp,raw,0.2608695652173913,0.24122686524002313,0.10468950357208284
1,1,6,115,svm,raw_pca11,0.5130434782608696,0.4579715890143304,0.41219423147133993
