sequence_index,num_frames,mean_velocity_deg,max_velocity_deg,mean_acceleration_deg,max_acceleration_deg
0,34,10.629029400667466,37.44684483840311,16.50527572631836,41.20233917236328
1,35,6.232317827214129,47.09810576957803,9.812774658203125,42.381553649902344
2,39,28.007701787283395,69.9732268665421,44.75315475463867,134.96742248535156
3,37,27.07098807928238,93.98266414662461,42.39359664916992,160.7494354248047
4,136,30.261587245998463,135.00417031913364,49.59145736694336,214.4374237060547
5,32,20.772695191743512,144.2152316420649,32.09236526489258,228.00660705566406
6,35,9.110349501898032,40.434182104555724,15.02902603149414,43.01332473754883
7,40,29.75670126914795,125.20408001564523,42.28029251098633,223.4505615234375
8,88,36.97432718741161,138.77238041852158,56.687828063964844,237.5894317626953
9,42,22.671352560496462,56.065963801410966,36.672096252441406,105.44144439697266
10,35,8.524085736544476,34.573205634280605,13.236124992370605,43.4196891784668
11,129,21.47906913122622,142.26923116816343,31.655601501464844,152.5659942626953
12,25,36.30960743831505,97.58031268187203,52.768489837646484,145.05136108398438
13,46,17.961921673023877,64.99094492524625,29.91236114501953,74.54729461669922
14,39,14.431942386951745,70.3739667314091,22.918407440185547,121.14352416992188
15,108,14.801452880807316,72.51395026872781,21.338655471801758,133.19638061523438
16,38,35.60682853473666,128.75003306876508,56.88737106323242,222.51763916015625
17,31,56.314713295838494,209.56694634803665,86.3046875,352.30072021484375
18,26,28.39561899856807,164.43529501345478,44.46348190307617,211.87503051757812
19,36,15.941007478215342,48.45465338915923,23.00259017944336,52.89530563354492
20,38,5.172372145668257,10.628713984424184,7.602336406707764,16.93048095703125
21,35,10.688546621916812,25.741417160351048,15.246465682983398,26.578752517700195
22,33,23.093965885271277,53.65775018377599,34.47844696044922,74.20361328125
23,34,38.511457046700606,193.66480702009724,63.487525939941406,248.1583709716797
24,34,16.250710821670026,116.77323587097787,25.313655853271484,114.87308502197266
25,33,25.186911883836594,121.36903950320979,39.15082550048828,170.1658935546875
26,23,16.84416947844326,58.51479985277656,27.702253341674805,70.24380493164062
27,18,17.89280501596101,51.25777414282281,29.282764434814453,82.87864685058594
28,51,23.4461473441079,131.7671218050318,41.53347396850586,140.04010009765625
29,28,19.074140816585,45.317221780626916,28.77088165283203,60.7942008972168
30,88,8.16290289839078,55.69026679513522,12.94039249420166,74.42235565185547
31,27,6.956637226360968,27.510424076228105,11.076805114746094,34.24686813354492
32,47,16.875706861379452,93.71360124696429,25.2232666015625,119.28050994873047
33,104,37.54027917441747,128.67373747059995,56.30836486816406,140.6427459716797
34,42,9.123849314292109,25.846985958978536,13.668713569641113,46.761444091796875
35,63,15.036283215711137,175.99406176093026,24.475210189819336,219.9579620361328
36,36,21.030835060427922,75.33473822561746,31.599868774414062,95.45848846435547
37,29,23.357141920304166,169.98452818809278,37.64241409301758,233.81031799316406
38,44,13.259435656365289,76.80747583825523,22.521841049194336,141.63937377929688
39,30,16.65251192783699,79.1463352216374,28.377607345581055,126.36698913574219
40,25,13.949216023452541,38.44880242787464,22.69862174987793,66.6953353881836
41,28,14.473951803449772,38.454578178523995,20.94478416442871,52.00229263305664
42,50,70.2642695326522,224.80617117334205,113.84220123291016,324.5257873535156
43,42,33.80654274917125,150.89127376352263,53.664451599121094,284.9129943847656
44,39,30.925658574254996,83.48318019139666,47.532772064208984,137.0688934326172
45,19,6.336409045455663,16.717125766113632,9.876760482788086,26.24065399169922
46,32,24.82524317379131,168.86579688352617,39.85277557373047,197.3272705078125
47,35,31.478981350305247,147.62703826222292,49.026649475097656,238.50473022460938
48,32,18.49146705917691,64.13579044038278,31.11788558959961,123.90153503417969
49,31,9.69723667071373,20.246165378366523,13.986490249633789,26.256572723388672
50,33,12.904140236172537,29.65520221407419,17.94659423828125,37.93977737426758
51,51,15.108925739019524,93.73111640174892,22.369646072387695,125.73086547851562
52,35,15.109368970610948,42.13018025778502,20.2525577545166,42.32798385620117
53,36,13.805120721123735,47.08889256366974,22.628246307373047,59.622947692871094
54,47,37.40808484967567,140.24544208873365,62.43904113769531,247.261474609375
55,39,7.176851803823509,23.319568978844778,11.631386756896973,31.174091339111328
56,24,29.4487490146499,74.80755101756493,46.77534484863281,121.44597625732422
57,36,9.593403068088891,29.362059015419135,14.670023918151855,34.873573303222656
58,29,14.457940774248812,96.02849185893601,23.641361236572266,144.12632751464844
59,32,12.536932939962112,70.13625658568593,18.684711456298828,89.4719009399414
60,35,27.841125689535,68.52071293691807,44.2518424987793,113.69398498535156
61,27,15.983638068300639,61.52901005292534,25.870254516601562,65.40137481689453
62,23,16.234994074915452,93.97254654454348,25.254098892211914,141.962890625
