representation,dimension,representation_type,uses_temporal_information,uses_orca_embodiment,uses_mujoco,svm_accuracy_mean,svm_macro_f1_mean,knn_accuracy_mean,knn_macro_f1_mean,rf_accuracy_mean,rf_macro_f1_mean,mlp_accuracy_mean,mlp_macro_f1_mean
Raw-63,63,Cartesian landmark coordinates,No,No,No,0.3913043478260869,0.38967829486118344,0.3391304347826087,0.33212661414218525,0.4260869565217391,0.43009177369471485,0.4217391304347826,0.41813764979511114
PCA-11,11,Statistical latent representation,No,No,No,0.5478260869565217,0.5606290985062843,0.5217391304347827,0.516715200012744,0.591304347826087,0.5955339242974138,0.5521739130434782,0.5614367831500038
PCA-17,17,Statistical latent representation,No,No,No,0.6130434782608696,0.6163809268381162,0.6086956521739131,0.6145600854668187,0.682608695652174,0.6947455967500504,0.6565217391304348,0.6658904712486275
JointAngle-11,11,Geometric joint-angle representation,No,No,No,0.7043478260869565,0.7155744613659487,0.7043478260869565,0.6969952402798147,0.7565217391304347,0.7596761675576542,0.7043478260869566,0.7014524267150317
Corrected-17,17,Embodiment-aware actuator representation,No,Yes,No,0.7695652173913043,0.7783201119548893,0.7,0.6990600629174883,0.8043478260869565,0.8076551858231604,0.7652173913043478,0.7710471444717839
Optimized Action-17,17,Kinematic/temporal refined actuator representation,Yes,Yes,Yes,0.7391304347826086,0.7491059485952943,0.6739130434782609,0.6694746115920389,0.808695652173913,0.8134004370643537,0.7478260869565218,0.7568535835410481
