classifier,metric,first,second,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
knn,accuracy,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,0.004347826086956552,0.004347826086956552,0.008521739130434842,1,1,0,0.31731050786291415
knn,macro_f1,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,0.014119177388133286,0.003785724827078507,0.007420020661073873,2,0,0,0.5
knn,kappa,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,0.005311708510515434,0.0055406811389531185,0.010859735032348113,1,0,1,1.0
rf,accuracy,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,-0.026086956521739146,0.05217391304347824,0.10226086956521735,1,0,1,1.0
rf,macro_f1,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,-0.025064449379316678,0.05460444847641649,0.1070247190137763,1,0,1,1.0
rf,kappa,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,-0.031219961837820165,0.062193550061156455,0.12189935811986663,1,0,1,1.0
rf,accuracy,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,-0.008695652173913049,0.03478260869565214,0.06817391304347818,1,0,1,1.0
rf,macro_f1,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,-0.006396261714568363,0.03606310519064965,0.07068368617367331,1,0,1,1.0
rf,kappa,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,-0.010198228985078828,0.04138993613937436,0.08112427483317373,1,0,1,1.0
rf,accuracy,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,0.01304347826086949,0.03913043478260869,0.07669565217391304,1,0,1,1.0
rf,macro_f1,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,0.010321223269807,0.04064543815657207,0.07966505878688125,1,0,1,1.0
rf,kappa,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,0.015591554517705442,0.04682928466850045,0.09178539795026086,1,0,1,1.0
rf,accuracy,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-5.551115123125783e-17,0.05217391304347824,0.10226086956521735,1,0,1,1.0
rf,macro_f1,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.0031584199172208227,0.05607178954458575,0.10990070750738806,1,0,1,1.0
rf,kappa,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,0.00035989048748386043,0.06227906762968127,0.12206697255417527,1,0,1,1.0
rf,accuracy,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,0.013043478260869545,0.004347826086956552,0.008521739130434842,2,0,0,0.5
rf,macro_f1,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,0.013955240228509636,0.004756122474481594,0.009322000049983924,2,0,0,0.5
rf,kappa,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,0.015328408939445926,0.004909854853560824,0.009623315512979215,2,0,0,0.5
rf,accuracy,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.013043478260869601,0.021739130434782594,0.04260869565217388,1,0,1,1.0
rf,macro_f1,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.009680455868646687,0.01945131555461671,0.03812457848704875,1,0,1,1.0
rf,kappa,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.015879085913795166,0.026323154648465463,0.051593383110992305,1,0,1,1.0
mlp,accuracy,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,-0.04347826086956519,0.0,0.0,0,0,2,0.5
mlp,macro_f1,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,-0.042125763791419135,0.0022039364746337387,0.004319715490282127,0,0,2,0.5
mlp,kappa,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,-0.05235184002156895,3.631432616918451e-05,7.117607929160163e-05,0,0,2,0.5
mlp,accuracy,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,-0.013043478260869601,0.004347826086956497,0.008521739130434733,0,0,2,0.5
