feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.722222,0.000000,0.734524,0.004365,0.836111,0.030556,0.750000,0.000000,0.609756,0.000000
optimized_action,0.888889,0.000000,0.876190,0.009524,0.902778,0.013889,0.875000,0.000000,0.811739,0.002215
