dataset,classifier,feature_set,num_features,num_train,num_test,sequence_mode,shots_per_class,repeats,test_size,random_state,c,gamma,knn_neighbors,knn_weights,rf_estimators,rf_max_depth,mlp_hidden_sizes,mlp_alpha,mlp_learning_rate,mlp_max_iter,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,accuracy_mean,accuracy_std,cohen_kappa_mean,cohen_kappa_std,weighted_f1_mean,weighted_f1_std
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,raw,252,9,8,yes,3,2,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.694444,0.027778,0.676984,0.053175,0.802778,0.002778,0.687500,0.062500,0.538211,0.071545,0.684226,0.053869
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,optimized_action,68,9,8,yes,3,2,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.805556,0.027778,0.795635,0.045635,0.891667,0.025000,0.812500,0.062500,0.711963,0.092915,0.790923,0.072173
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,raw,252,9,8,yes,3,2,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.722222,0.000000,0.734524,0.004365,0.836111,0.030556,0.750000,0.000000,0.609756,0.000000,0.743006,0.004911
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,optimized_action,68,9,8,yes,3,2,0.2,42,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.888889,0.000000,0.876190,0.009524,0.902778,0.013889,0.875000,0.000000,0.811739,0.002215,0.873214,0.001786
