feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.776389,0.139021,0.739425,0.147644,0.757778,0.149909,0.779167,0.132484,0.731900,0.157741
corrected,0.926389,0.058449,0.901032,0.074704,0.917361,0.064321,0.900000,0.067700,0.878069,0.081871
optimized_action,0.948611,0.041458,0.930556,0.057588,0.944444,0.043921,0.925000,0.058333,0.908424,0.070840
optimized_full,0.738889,0.118634,0.700853,0.135716,0.731944,0.141935,0.750000,0.123603,0.694963,0.146398
