feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.827778,0.108511,0.798512,0.118698,0.817500,0.125733,0.825000,0.090906,0.784142,0.111483
corrected,0.940278,0.063510,0.926190,0.075925,0.927778,0.079858,0.945833,0.047690,0.933008,0.058611
optimized_action,0.955556,0.064788,0.947460,0.074549,0.945833,0.080974,0.966667,0.040825,0.958478,0.050862
optimized_full,0.775000,0.112114,0.735000,0.132714,0.759028,0.138072,0.791667,0.113346,0.742998,0.137057
