feature_set,num_sequences,num_frames,velocity_mean,velocity_std,acceleration_mean,acceleration_std
corrected,56,7109,0.56006332956069,0.13491866499998267,0.8687116662830094,0.21672715726825797
full,56,7109,0.30153876671236957,0.07085867740119813,0.32057614560425673,0.07838648399935824
no_palm,56,7109,0.29309470160481993,0.07171967040984638,0.31673708476463786,0.0792648426474843
no_acceleration,56,7109,0.32535097690640796,0.07358094229721979,0.44666352725839115,0.10713246844582837
no_temporal,56,7109,0.3900237176344129,0.09085810033332886,0.6007698351603888,0.14542952435095932
l2,56,7109,0.27651531516787264,0.06559529536539879,0.3160196196351212,0.07968752733028112
