classifier,comparison,mean_accuracy_difference,median_accuracy_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
svm,optimized_action_minus_raw,0.14166666666666664,0.125,17,3,0,0.00026532570040269863
svm,optimized_action_minus_corrected,0.020833333333333336,0.0,4,16,0,0.05878172135535886
knn,optimized_action_minus_raw,0.14583333333333331,0.08333333333333337,16,3,1,0.0015706940105428453
knn,optimized_action_minus_corrected,0.024999999999999994,0.0,7,12,1,0.03038282197657749
rf,optimized_action_minus_raw,0.05833333333333333,0.08333333333333326,11,6,3,0.009724572382514398
rf,optimized_action_minus_corrected,0.020833333333333336,0.0,7,11,2,0.14009141650550508
mlp,optimized_action_minus_raw,0.09166666666666669,0.08333333333333326,15,2,3,0.0055184478521365585
mlp,optimized_action_minus_corrected,0.016666666666666673,0.0,8,8,4,0.12544647422396138
