feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.833333,0.100154,0.792302,0.127299,0.809722,0.141100,0.820833,0.102993,0.781998,0.122026
corrected,0.908333,0.064010,0.878135,0.075526,0.884722,0.083807,0.895833,0.044683,0.872029,0.054861
optimized_action,0.926389,0.060397,0.904960,0.075974,0.918056,0.075295,0.912500,0.061661,0.892729,0.075239
optimized_full,0.758333,0.121112,0.727560,0.134195,0.745972,0.135185,0.783333,0.116070,0.733096,0.141831
