sequence_id,frame_index,joint_index,joint_name,affected,automatic_confidence,oracle_confidence
0078bb88405b,7,7,ring_mcp,1,0.5302652567913739,0.0
0078bb88405b,7,8,ring_pip,1,0.7854226379079849,0.0
0078bb88405b,7,9,little_mcp,1,0.25974607108248976,0.0
0078bb88405b,7,10,little_pip,1,0.05621595964584839,0.0
0078bb88405b,8,0,thumb_cmc,1,0.013894206225679256,0.0
0078bb88405b,8,1,thumb_mcp,1,0.2323411505050358,0.0
0078bb88405b,8,2,thumb_ip,1,0.0740985122391772,0.0
0078bb88405b,8,3,index_mcp,1,0.8443059828983708,0.0
0078bb88405b,8,4,index_pip,1,0.10875244587519715,0.0
0078bb88405b,8,5,middle_mcp,1,0.7854373157290329,0.0
0078bb88405b,8,6,middle_pip,1,0.5476599543423187,0.0
0078bb88405b,8,7,ring_mcp,1,0.4596185013815982,0.0
0078bb88405b,8,8,ring_pip,1,0.62742233592657,0.0
0078bb88405b,8,9,little_mcp,1,0.11412793358242798,0.0
0078bb88405b,8,10,little_pip,1,0.24769443204137823,0.0
0078bb88405b,9,0,thumb_cmc,1,0.47726191272387725,0.0
0078bb88405b,9,1,thumb_mcp,1,0.4073937681419938,0.0
0078bb88405b,9,2,thumb_ip,1,0.11392792103326276,0.0
0078bb88405b,9,3,index_mcp,1,0.3955507842758997,0.0
0078bb88405b,9,4,index_pip,1,0.24981064499232397,0.0
0078bb88405b,9,5,middle_mcp,1,0.8346503646127603,0.0
0078bb88405b,9,6,middle_pip,1,0.6307433730242956,0.0
0078bb88405b,9,7,ring_mcp,1,0.5837444159925763,0.0
0078bb88405b,9,8,ring_pip,1,0.47172824277246955,0.0
0078bb88405b,9,9,little_mcp,1,0.18754704552112234,0.0
0078bb88405b,9,10,little_pip,1,0.40055488257744226,0.0
0078bb88405b,10,0,thumb_cmc,1,0.2512686986400106,0.0
0078bb88405b,10,1,thumb_mcp,1,0.22027769265744104,0.0
0078bb88405b,10,2,thumb_ip,1,0.23067349147205157,0.0
0078bb88405b,10,3,index_mcp,1,0.5627728822704845,0.0
0078bb88405b,10,4,index_pip,1,0.09122888596282133,0.0
0078bb88405b,10,5,middle_mcp,1,0.4545234580222616,0.0
0078bb88405b,10,6,middle_pip,1,0.6351103955786565,0.0
0078bb88405b,10,7,ring_mcp,1,0.2518271199140872,0.0
0078bb88405b,10,8,ring_pip,1,0.39140567841337665,0.0
0078bb88405b,10,9,little_mcp,1,0.08931354220657566,0.0
0078bb88405b,10,10,little_pip,1,0.3347293278084774,0.0
0078bb88405b,11,0,thumb_cmc,1,0.26540716063965664,0.0
0078bb88405b,11,1,thumb_mcp,1,0.1677530994330627,0.0
0078bb88405b,11,2,thumb_ip,1,0.1108999818913114,0.0
0078bb88405b,11,3,index_mcp,1,0.352142216934981,0.0
0078bb88405b,11,4,index_pip,1,0.3025179150986507,0.0
0078bb88405b,11,5,middle_mcp,1,0.5060624784468049,0.0
0078bb88405b,11,6,middle_pip,1,0.3828373922812733,0.0
0078bb88405b,11,7,ring_mcp,1,0.5659483106555095,0.0
0078bb88405b,11,8,ring_pip,1,0.08133039370205077,0.0
0078bb88405b,11,9,little_mcp,1,0.6610244809240188,0.0
0078bb88405b,11,10,little_pip,1,0.6535838089578185,0.0
0078bb88405b,12,0,thumb_cmc,1,0.08283639578910332,0.0
0078bb88405b,12,1,thumb_mcp,1,0.19630791404819792,0.0
0078bb88405b,12,2,thumb_ip,1,0.5002138746744966,0.0
0078bb88405b,12,3,index_mcp,1,0.2077484397892229,0.0
0078bb88405b,12,4,index_pip,1,0.15193159164568087,0.0
0078bb88405b,12,5,middle_mcp,1,0.6526691279817828,0.0
0078bb88405b,12,6,middle_pip,1,0.3141033125849384,0.0
0078bb88405b,12,7,ring_mcp,1,0.31514646495243404,0.0
0078bb88405b,12,8,ring_pip,1,0.37469471932661247,0.0
0078bb88405b,12,9,little_mcp,1,0.3709069269730312,0.0
0078bb88405b,12,10,little_pip,1,0.47493663633784605,0.0
0078bb88405b,13,0,thumb_cmc,1,0.0714071851806037,0.0
0078bb88405b,13,1,thumb_mcp,1,0.043158975034532365,0.0
0078bb88405b,13,2,thumb_ip,1,0.2134857300695738,0.0
0078bb88405b,13,3,index_mcp,1,0.4641650983403249,0.0
0078bb88405b,13,4,index_pip,1,0.24582500430441276,0.0
