method,num_instances,corrupted_joint_mae_mean,corrupted_joint_mae_std,all_joint_mae_mean,all_joint_mae_std,visible_joint_mae_mean,visible_joint_mae_std,recovery_ratio_mean,recovery_ratio_std,velocity_error_mean,velocity_error_std,acceleration_error_mean,acceleration_error_std,amplitude_retention_median_mean,amplitude_retention_median_std,temporal_lag_frames_mean,temporal_lag_frames_std
Automatic Confidence,6,7.542952803135944,5.116754647316968,6.073462747868578,3.229507435175943,4.375005145972148,2.676801048634338,0.2556225562683006,0.3749741204056556,3.878062972160492,1.0324018146413207,5.5439576128375165,1.6722512993384078,1.0171473458064977,0.11765354975721071,1.8333333333333333,1.21335164821342
Corrupted,6,22.554777132905244,25.041290775925667,3.4587519427598625,4.275881533863154,0.0,0.0,0.0,0.0,3.8749236684962045,5.004682802381046,6.750267120820067,8.615777105543351,1.201902978411111,0.3098591005421073,0.0,0.0
Kalman,6,9.94071135787576,5.381615370728884,7.188033087961519,1.8892932658857062,5.876151431279074,0.8063472378024064,-0.08409297746707001,0.9107117577771231,3.6005258479166287,1.0608544647856497,5.5231895912470454,1.8902856452452592,0.423106522215514,0.12681496593831545,3.6666666666666665,1.1055415967851334
One-Euro,6,12.872697398399232,11.790727221403596,5.642275277349035,2.152400026011858,4.051764421101354,0.8993495664801255,0.15003051177535284,0.32706918159751136,3.477636648478225,0.7966773339750006,5.321376886665493,1.4424341366347666,0.6703926709476863,0.1543464362016031,1.5,0.7637626158259734
Oracle Confidence,6,11.62281109288619,6.781989653653787,4.774333809737697,6.509581670125633,0.0,0.0,-0.468785359213669,0.9684238348639295,1.0507617268257523,1.262211954897787,1.5828908414284995,1.8580125298957344,0.6666666666666666,0.4714045207910317,0.0,0.0
