sequence_id,label,corruption_type,duration,finger_group,severity,random_seed,num_frames,num_affected_joint_frames,method,all_joint_mae,all_joint_rmse,median_absolute_error,p95_absolute_error,corrupted_joint_mae,visible_joint_mae,recovery_ratio,velocity_error,acceleration_error,amplitude_retention_mean,amplitude_retention_median,amplitude_within_0p9_1p1,amplitude_below_0p8,amplitude_above_1p2,temporal_lag_frames
0078bb88405b,prayer_beads,gaussian,0,all,medium,42,34,374,Corrupted,9.857405779833462,13.00426535486807,7.670570373535156,26.89661178588866,9.857405779833462,nan,0.0,10.820481439595708,18.435250542380594,3.032855496842758,1.8141534372443622,0.0,0.0,1.0,0.0
0078bb88405b,prayer_beads,gaussian,0,all,medium,42,34,374,Kalman,9.776066397600633,12.47368507758784,8.100250244140625,22.50358810424804,9.776066397600633,nan,0.008251601288366772,2.368440906535167,3.726908900521018,0.8087739054991387,0.688299446968637,0.0,0.8181818181818182,0.18181818181818182,5.0
0078bb88405b,prayer_beads,gaussian,0,all,medium,42,34,374,One-Euro,8.314117798830736,10.17792152330257,7.123779296875,19.683503723144522,8.314117798830736,nan,0.15656127133977016,3.226990502727918,5.031191565773704,1.316948357629608,1.0082710081243447,0.09090909090909091,0.18181818181818182,0.2727272727272727,1.0
0078bb88405b,prayer_beads,gaussian,0,all,medium,42,34,374,Automatic Confidence,9.071489675330612,11.282898830221857,7.606336104689078,21.9217461054615,9.071489675330612,nan,0.07972849267407622,3.775541959779111,4.82319974070289,2.030411069850956,1.2308994582885302,0.18181818181818182,0.0,0.5454545454545454,4.0
0078bb88405b,prayer_beads,gaussian,0,all,medium,42,34,374,Oracle Confidence,15.105356043035334,19.401354891994522,12.058891296386719,43.772241210937494,15.105356043035334,nan,-0.5323865508243828,2.2553323793017173,3.5910127379677514,0.0,0.0,0.0,1.0,0.0,nan
010a5011bcfd,orchid_finger,spike,3,ring,fixed,43,39,6,Corrupted,0.5295845345183686,4.733023164939628,0.0,0.0,37.865294218063354,0.0,0.0,0.43026879415557717,0.8510784505333303,1.0860260504796184,1.0,0.8181818181818182,0.0,0.18181818181818182,0.0
010a5011bcfd,orchid_finger,spike,3,ring,fixed,43,39,6,Kalman,7.062952828574014,11.309464428872193,4.1299285888671875,23.650708007812486,9.74392573038737,7.02492484415113,0.7426686909053752,5.042013633764531,7.753440819442711,0.37505722255131513,0.34366957826223715,0.0,1.0,0.0,3.0
010a5011bcfd,orchid_finger,spike,3,ring,fixed,43,39,6,One-Euro,5.595375825753023,9.414729665306416,3.2133026123046875,18.860739898681626,15.609352111816406,5.453333608929429,0.5877662531308133,4.675165349786932,7.158303178791918,0.5908480452009246,0.5760134682839317,0.0,1.0,0.0,2.0
010a5011bcfd,orchid_finger,spike,3,ring,fixed,43,39,6,Automatic Confidence,8.8954016128121,22.677689114471764,1.238604980271532,52.609935930911384,16.919262805509884,8.781587978873123,0.5531722873174276,4.8396947401455535,7.398566025193728,0.9974166675187692,0.9953461725379255,0.5454545454545454,0.18181818181818182,0.09090909090909091,1.0
010a5011bcfd,orchid_finger,spike,3,ring,fixed,43,39,6,Oracle Confidence,0.32485515532237946,3.5942770908086104,0.0,0.0,23.22714360555013,0.0,0.38658489032762366,0.377295589903325,0.6391044447990248,1.1088043926166407,1.0,0.9090909090909091,0.0,0.09090909090909091,0.0
05c116dc4ea7,three_finger_bent,occlusion,5,middle,short,44,42,10,Corrupted,0.03715201373740192,0.31562856882782425,0.0,0.0,1.7164230346679688,0.0,0.0,0.05031022369993764,0.08223134821111505,1.0,1.0,1.0,0.0,0.0,0.0
05c116dc4ea7,three_finger_bent,occlusion,5,middle,short,44,42,10,Kalman,6.084073896531935,8.49384288435394,4.3132171630859375,18.211335372924804,5.129798889160156,6.105186175456089,-1.988656517390821,5.034907085139577,8.514361901716752,0.32138655461322635,0.2978524055256783,0.0,1.0,0.0,2.0
05c116dc4ea7,three_finger_bent,occlusion,5,middle,short,44,42,10,One-Euro,3.993414676550663,5.7928456894277245,2.4501495361328125,12.666302490234374,2.4332229614257814,4.02793219237201,-0.4176126236248474,4.322143520854265,7.312913253090598,0.5879197981903578,0.5924777416997598,0.0,1.0,0.0,1.0
