feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.776389,0.139021,0.739425,0.147644,0.757778,0.149909,0.779167,0.132484,0.731900,0.157741
corrected,0.926389,0.058449,0.901032,0.074704,0.917361,0.064321,0.900000,0.067700,0.878069,0.081871
optimized_action,0.929167,0.068310,0.904762,0.089719,0.917361,0.079480,0.908333,0.078617,0.888082,0.095500
optimized_full,0.744444,0.136253,0.702817,0.148047,0.732500,0.150657,0.754167,0.133007,0.699804,0.160129
