feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.827778,0.108511,0.798512,0.118698,0.817500,0.125733,0.825000,0.090906,0.784142,0.111483
corrected,0.940278,0.063510,0.926190,0.075925,0.927778,0.079858,0.945833,0.047690,0.933008,0.058611
optimized_action,0.945833,0.062407,0.937778,0.071329,0.939583,0.078109,0.954167,0.041458,0.942916,0.051643
optimized_full,0.775000,0.134915,0.733433,0.153421,0.737639,0.167653,0.795833,0.116294,0.746827,0.143665
