feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.833333,0.100154,0.792302,0.127299,0.809722,0.141100,0.820833,0.102993,0.781998,0.122026
corrected,0.908333,0.064010,0.878135,0.075526,0.884722,0.083807,0.895833,0.044683,0.872029,0.054861
optimized_action,0.926389,0.069319,0.906151,0.085130,0.914583,0.087981,0.916667,0.064550,0.897672,0.079052
optimized_full,0.755556,0.131644,0.714087,0.155457,0.723750,0.166929,0.770833,0.128763,0.716179,0.158515
