variant,velocity_mean,acceleration_mean,svm_accuracy,rf_accuracy
corrected,0.4590213502917351,0.7099963694753437,0.7491304347826087,0.782608695652174
full,0.24696359297602838,0.27032535366542887,0.7278260869565216,0.7673913043478262
no_palm,0.23906736476963625,0.26461905342984127,0.7378260869565217,0.7717391304347826
no_acceleration,0.2684552782387683,0.371807450802401,0.7213043478260869,0.7730434782608696
no_temporal,0.32384368192991336,0.49755532616206544,0.7095652173913043,0.7608695652173912
l2,0.25601417372276325,0.2926143848299722,0.6547826086956523,0.7334782608695652
