representation,velocity_mean,velocity_std,acceleration_mean,acceleration_std
Actuator Projection-17,0.4590213503,0.2075952379,0.7099963695,0.3476120304
Refined ORCA-17,0.246963593,0.1080174742,0.2703253537,0.1291777744
