repeat,shot,num_train,num_test,classifier,feature_set,accuracy,macro_f1,kappa
0,1,6,115,svm,raw,0.3565217391304348,0.2961668355285377,0.22290201808054055
0,1,6,115,knn,raw,0.3565217391304348,0.2961668355285377,0.22290201808054055
0,1,6,115,rf,raw,0.3217391304347826,0.2606613628626207,0.1815693430656934
0,1,6,115,mlp,raw,0.34782608695652173,0.2822590989257656,0.2122568271074985
0,1,6,115,svm,raw_pca17,0.4782608695652174,0.4728917126604481,0.37505660719137757
0,1,6,115,knn,raw_pca17,0.4782608695652174,0.4728917126604481,0.37505660719137757
0,1,6,115,rf,raw_pca17,0.4608695652173913,0.4330278240670606,0.3492744364333302
0,1,6,115,mlp,raw_pca17,0.391304347826087,0.35629929066479216,0.2704368316113829
0,1,6,115,svm,corrected,0.6260869565217392,0.6122920837831454,0.5516365944328588
0,1,6,115,knn,corrected,0.6260869565217392,0.6122920837831454,0.5516365944328588
0,1,6,115,rf,corrected,0.6434782608695652,0.6275931899770909,0.5719473445301861
0,1,6,115,mlp,corrected,0.5304347826086957,0.5311564978231644,0.4382124117966346
0,1,6,115,svm,optimized_action,0.6260869565217392,0.5964644102941975,0.551025966951153
0,1,6,115,knn,optimized_action,0.6260869565217392,0.5964644102941975,0.551025966951153
0,1,6,115,rf,optimized_action,0.6,0.5852712118315863,0.519003455173668
0,1,6,115,mlp,optimized_action,0.5826086956521739,0.5731701759943095,0.5013099647664648
0,1,6,115,svm,optimized_full,0.391304347826087,0.36777188848248854,0.27063513635951786
0,1,6,115,knn,optimized_full,0.3826086956521739,0.3618716125546124,0.26008155867693694
0,1,6,115,rf,optimized_full,0.3391304347826087,0.3373622317277425,0.20675258667634766
0,1,6,115,mlp,optimized_full,0.391304347826087,0.3831359457545416,0.2707012139880415
0,3,18,115,svm,raw,0.3565217391304348,0.34723280524922795,0.22268907563025198
0,3,18,115,knn,raw,0.3217391304347826,0.31448220093897256,0.1826134499726625
0,3,18,115,rf,raw,0.40869565217391307,0.4112486859545683,0.2904455131113328
0,3,18,115,mlp,raw,0.4260869565217391,0.41926038286332407,0.31025081788440567
0,3,18,115,svm,raw_pca17,0.6260869565217392,0.6280803305293393,0.550658791458428
0,3,18,115,knn,raw_pca17,0.6086956521739131,0.6086472307422209,0.5292458837442009
0,3,18,115,rf,raw_pca17,0.6956521739130435,0.7031739931782376,0.6352514725872225
0,3,18,115,mlp,raw_pca17,0.6695652173913044,0.6887999652705535,0.6043816766250225
0,3,18,115,svm,corrected,0.782608695652174,0.789004277834065,0.7385412877409967
0,3,18,115,knn,corrected,0.6869565217391305,0.6812048377513272,0.6242171189979123
0,3,18,115,rf,corrected,0.808695652173913,0.8114131482552535,0.7705839680812477
0,3,18,115,mlp,corrected,0.782608695652174,0.7827116210243146,0.7388974661701935
0,3,18,115,svm,optimized_action,0.7913043478260869,0.7987554187804501,0.749159320185404
0,3,18,115,knn,optimized_action,0.7043478260869566,0.6985544440697864,0.6453514739229025
0,3,18,115,rf,optimized_action,0.808695652173913,0.8132199946224336,0.7707087185064347
0,3,18,115,mlp,optimized_action,0.7478260869565218,0.7537994165901143,0.6975056689342403
0,3,18,115,svm,optimized_full,0.5304347826086957,0.5220700546498418,0.4351464435146444
0,3,18,115,knn,optimized_full,0.4,0.3724031427163732,0.2829387312488705
0,3,18,115,rf,optimized_full,0.45217391304347826,0.45828277317639016,0.3433931484502447
0,3,18,115,mlp,optimized_full,0.48695652173913045,0.4872987777012545,0.3849709934735315
0,5,30,115,svm,raw,0.4,0.3849878841283139,0.27613574165298305
0,5,30,115,knn,raw,0.41739130434782606,0.4071290716452007,0.29782192654697903
0,5,30,115,rf,raw,0.4956521739130435,0.4863362313864466,0.3919226912207129
0,5,30,115,mlp,raw,0.4608695652173913,0.4454940474049871,0.3511103021477976
0,5,30,115,svm,raw_pca17,0.7043478260869566,0.7023402523402523,0.6442220200181984
0,5,30,115,knn,raw_pca17,0.7304347826086957,0.7364027909759616,0.674963530269876
0,5,30,115,rf,raw_pca17,0.8347826086956521,0.834152009152009,0.8015260241620492
0,5,30,115,mlp,raw_pca17,0.7652173913043478,0.7643967519562734,0.7174190025482344
0,5,30,115,svm,corrected,0.8,0.805966969687245,0.7596328607778989
0,5,30,115,knn,corrected,0.7130434782608696,0.7163340117471545,0.6558447447175116
0,5,30,115,rf,corrected,0.8608695652173913,0.8610809470565567,0.833015700154279
0,5,30,115,mlp,corrected,0.8260869565217391,0.8202003888228075,0.7907569141193596
0,5,30,115,svm,optimized_action,0.8347826086956521,0.8399012678104749,0.8013455768706246
