sequence_id,frame_id,solve_time_ms,iterations,success,finite
01fd6a3af833,0,27.47659999295138,6,1,1
01fd6a3af833,1,33.2804999925429,6,1,1
01fd6a3af833,2,26.12819999922067,6,1,1
01fd6a3af833,3,31.117899998207577,5,1,1
01fd6a3af833,4,33.66450000612531,6,1,1
01fd6a3af833,5,34.149600003729574,6,1,1
01fd6a3af833,6,33.704899993608706,6,1,1
01fd6a3af833,7,39.64829999313224,6,1,1
01fd6a3af833,8,31.021400005556643,5,1,1
01fd6a3af833,9,33.017399997333996,6,1,1
01fd6a3af833,10,32.19090000493452,6,1,1
01fd6a3af833,11,32.46699999726843,7,1,1
01fd6a3af833,12,27.661100000841543,5,1,1
01fd6a3af833,13,26.339400006690994,6,1,1
01fd6a3af833,14,23.83910000207834,5,1,1
01fd6a3af833,15,21.621699997922406,5,1,1
01fd6a3af833,16,22.916400004760362,5,1,1
01fd6a3af833,17,24.67600000090897,5,1,1
01fd6a3af833,18,26.267599998391233,5,1,1
01fd6a3af833,19,40.672100003575906,5,1,1
01fd6a3af833,20,33.90829999989364,5,1,1
01fd6a3af833,21,23.33619999990333,5,1,1
01fd6a3af833,22,28.071200009435415,6,1,1
01fd6a3af833,23,29.11329999915324,6,1,1
01fd6a3af833,24,24.0639999974519,5,1,1
01fd6a3af833,25,29.257499991217628,6,1,1
01fd6a3af833,26,26.39719999569934,5,1,1
01fd6a3af833,27,23.07690000452567,5,1,1
01fd6a3af833,28,28.758400003425777,6,1,1
01fd6a3af833,29,33.908099998370744,6,1,1
01fd6a3af833,30,22.153500001877546,5,1,1
01fd6a3af833,31,31.875599990598857,6,1,1
01fd6a3af833,32,28.635499998927116,5,1,1
01fd6a3af833,33,28.94259999447968,5,1,1
01fd6a3af833,34,27.71400001074653,5,1,1
01fd6a3af833,35,24.63460000581108,5,1,1
01fd6a3af833,36,28.754799990565516,5,1,1
01fd6a3af833,37,22.685300005832687,5,1,1
01fd6a3af833,38,23.631200005183928,5,1,1
01fd6a3af833,39,24.35989999503363,5,1,1
01fd6a3af833,40,21.89570000336971,5,1,1
01fd6a3af833,41,27.46620000107214,6,1,1
01fd6a3af833,42,33.010799990734085,6,1,1
01fd6a3af833,43,28.26390000700485,6,1,1
01fd6a3af833,44,27.129299996886402,6,1,1
01fd6a3af833,45,26.937899994663894,6,1,1
01fd6a3af833,46,25.855400002910756,6,1,1
