classifier,representation,true_label,predicted_label,count,row_normalized
rf,joint_angle11,flower_pinch,three_finger_bent,12,0.031578947368421054
rf,joint_angle11,orchid_finger,deer_horn,39,0.10833333333333334
rf,joint_angle11,orchid_finger,flower_pinch,6,0.016666666666666666
rf,joint_angle11,orchid_finger,orchid_finger,315,0.875
rf,joint_angle11,orchid_finger,orchid_palm,0,0.0
rf,joint_angle11,orchid_finger,prayer_beads,0,0.0
rf,joint_angle11,orchid_finger,three_finger_bent,0,0.0
rf,joint_angle11,orchid_palm,deer_horn,2,0.004545454545454545
rf,joint_angle11,orchid_palm,flower_pinch,33,0.075
rf,joint_angle11,orchid_palm,orchid_finger,31,0.07045454545454545
rf,joint_angle11,orchid_palm,orchid_palm,320,0.7272727272727273
rf,joint_angle11,orchid_palm,prayer_beads,54,0.12272727272727273
rf,joint_angle11,orchid_palm,three_finger_bent,0,0.0
rf,joint_angle11,prayer_beads,deer_horn,0,0.0
rf,joint_angle11,prayer_beads,flower_pinch,1,0.002631578947368421
rf,joint_angle11,prayer_beads,orchid_finger,0,0.0
rf,joint_angle11,prayer_beads,orchid_palm,22,0.05789473684210526
rf,joint_angle11,prayer_beads,prayer_beads,357,0.9394736842105263
rf,joint_angle11,prayer_beads,three_finger_bent,0,0.0
rf,joint_angle11,three_finger_bent,deer_horn,1,0.002777777777777778
rf,joint_angle11,three_finger_bent,flower_pinch,63,0.175
rf,joint_angle11,three_finger_bent,orchid_finger,0,0.0
rf,joint_angle11,three_finger_bent,orchid_palm,5,0.013888888888888888
rf,joint_angle11,three_finger_bent,prayer_beads,0,0.0
rf,joint_angle11,three_finger_bent,three_finger_bent,291,0.8083333333333333
mlp,joint_angle11,deer_horn,deer_horn,346,0.9105263157894737
mlp,joint_angle11,deer_horn,flower_pinch,8,0.021052631578947368
mlp,joint_angle11,deer_horn,orchid_finger,20,0.05263157894736842
mlp,joint_angle11,deer_horn,orchid_palm,6,0.015789473684210527
mlp,joint_angle11,deer_horn,prayer_beads,0,0.0
mlp,joint_angle11,deer_horn,three_finger_bent,0,0.0
mlp,joint_angle11,flower_pinch,deer_horn,19,0.05
mlp,joint_angle11,flower_pinch,flower_pinch,231,0.6078947368421053
mlp,joint_angle11,flower_pinch,orchid_finger,10,0.02631578947368421
mlp,joint_angle11,flower_pinch,orchid_palm,89,0.23421052631578948
mlp,joint_angle11,flower_pinch,prayer_beads,11,0.02894736842105263
mlp,joint_angle11,flower_pinch,three_finger_bent,20,0.05263157894736842
mlp,joint_angle11,orchid_finger,deer_horn,43,0.11944444444444445
mlp,joint_angle11,orchid_finger,flower_pinch,5,0.013888888888888888
mlp,joint_angle11,orchid_finger,orchid_finger,310,0.8611111111111112
mlp,joint_angle11,orchid_finger,orchid_palm,1,0.002777777777777778
mlp,joint_angle11,orchid_finger,prayer_beads,0,0.0
mlp,joint_angle11,orchid_finger,three_finger_bent,1,0.002777777777777778
mlp,joint_angle11,orchid_palm,deer_horn,0,0.0
mlp,joint_angle11,orchid_palm,flower_pinch,62,0.1409090909090909
mlp,joint_angle11,orchid_palm,orchid_finger,32,0.07272727272727272
mlp,joint_angle11,orchid_palm,orchid_palm,317,0.7204545454545455
mlp,joint_angle11,orchid_palm,prayer_beads,28,0.06363636363636363
mlp,joint_angle11,orchid_palm,three_finger_bent,1,0.0022727272727272726
mlp,joint_angle11,prayer_beads,deer_horn,0,0.0
mlp,joint_angle11,prayer_beads,flower_pinch,7,0.018421052631578946
mlp,joint_angle11,prayer_beads,orchid_finger,0,0.0
mlp,joint_angle11,prayer_beads,orchid_palm,42,0.11052631578947368
mlp,joint_angle11,prayer_beads,prayer_beads,330,0.868421052631579
mlp,joint_angle11,prayer_beads,three_finger_bent,1,0.002631578947368421
mlp,joint_angle11,three_finger_bent,deer_horn,0,0.0
mlp,joint_angle11,three_finger_bent,flower_pinch,53,0.14722222222222223
mlp,joint_angle11,three_finger_bent,orchid_finger,0,0.0
mlp,joint_angle11,three_finger_bent,orchid_palm,10,0.027777777777777776
mlp,joint_angle11,three_finger_bent,prayer_beads,0,0.0
mlp,joint_angle11,three_finger_bent,three_finger_bent,297,0.825
svm,compact_optimized_action7,deer_horn,deer_horn,328,0.8631578947368421
svm,compact_optimized_action7,deer_horn,flower_pinch,11,0.02894736842105263
svm,compact_optimized_action7,deer_horn,orchid_finger,37,0.09736842105263158
