feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.803704,0.079522,0.771918,0.088181,0.801667,0.090793,0.768421,0.080511,0.737350,0.090720
corrected,0.922222,0.064841,0.911495,0.074602,0.927407,0.074055,0.913158,0.065048,0.900808,0.074478
optimized_action,0.918519,0.057198,0.906574,0.064082,0.921204,0.061353,0.902632,0.069176,0.889096,0.078766
optimized_full,0.794444,0.113387,0.768493,0.125098,0.791779,0.131008,0.789474,0.106571,0.759434,0.122491
