feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.741667,0.085160,0.704797,0.103708,0.741190,0.105118,0.713158,0.082339,0.675034,0.091928
corrected,0.875000,0.071692,0.855132,0.088234,0.876852,0.084259,0.855263,0.089435,0.835391,0.101106
optimized_action,0.891667,0.063956,0.864907,0.089533,0.876667,0.095937,0.871053,0.077128,0.853546,0.087104
optimized_full,0.737037,0.128647,0.704471,0.138351,0.735661,0.140488,0.739474,0.110995,0.702938,0.127537
