feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.682407,0.107706,0.625882,0.107094,0.657513,0.110836,0.652632,0.088696,0.607274,0.099786
corrected,0.862037,0.076236,0.834841,0.094184,0.854815,0.110671,0.847368,0.077888,0.826482,0.088236
optimized_action,0.865741,0.080906,0.843175,0.095198,0.863399,0.097305,0.850000,0.080296,0.829525,0.091175
optimized_full,0.704630,0.130088,0.669550,0.133224,0.702130,0.128609,0.710526,0.123992,0.671299,0.140843
