feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std
raw,0.839815,0.066325,0.814577,0.081200,0.844630,0.074980,0.805263,0.072738,0.779120,0.082078
corrected,0.937037,0.034347,0.928333,0.040446,0.946759,0.037138,0.928947,0.041692,0.919139,0.047340
optimized_action,0.940741,0.053544,0.931032,0.065438,0.944907,0.063510,0.939474,0.050688,0.931024,0.057758
optimized_full,0.845370,0.095917,0.826270,0.109848,0.849537,0.110607,0.847368,0.091009,0.825855,0.103692
