repeat,index,actuator_name,semantic_role,finger_group,type,included_in_flex11,constant_on_analysis_partition,oa_discriminative_f_raw,oa_discriminative_scaled,oa_within_class_variability_raw,oa_within_class_penalty_scaled,oa_instability_raw,oa_instability_penalty_scaled,oa_redundancy_max_abs_correlation,refinement_sensitivity_penalty,utility_score,utility_rank
0,0,right_wrist_actuator,wrist,wrist,wrist,no,no,2.7172711718258054,0.0,0.2464678168352373,0.6316968032116259,0.47637019174744144,0.2747769793389195,0.4321103536936375,0.7179146898612936,-0.38538335320393,17
0,1,right_p-abd_actuator,little abduction,little,abduction,no,no,35.01272540838433,0.4038910522300024,0.23628412273764698,0.5982355706566035,0.6393997258767912,0.6631796038002702,0.6534829353856141,0.32395668827913726,-0.024919704743915208,9
0,2,right_p-mcp_actuator,little MCP flexion,little,flexion,yes,no,16.265289286484705,0.27313558221879847,0.28953319147739476,0.7731995331798576,0.6061382646808438,0.5839372819049296,0.5560938305256888,0.2902573257462227,-0.16390443089793857,13
0,3,right_p-pip_actuator,little PIP flexion,little,flexion,yes,no,139.02400555586118,0.6454096794783201,0.2332874368163971,0.5883891629047219,0.46105502357600675,0.2382900228888532,0.5578361671568844,0.1395047611898763,0.34605324492235484,5
0,4,right_r-abd_actuator,ring abduction,ring,abduction,no,no,41.04610999536831,0.43144003708938083,0.23249661773078856,0.5857907166946419,0.7807779473907632,1.0,0.6534829353856142,0.22396503675775517,-0.04662483790578505,10
0,5,right_r-mcp_actuator,ring MCP flexion,ring,flexion,yes,no,47.37062420915078,0.45636231460847415,0.24950341741533033,0.6416710754139585,0.5862777082898672,0.5366213629414514,0.8585773358904911,0.21604560243657123,0.02742683241763489,8
0,6,right_r-pip_actuator,ring PIP flexion,ring,flexion,yes,no,1027.1356669503891,1.0,0.05421527515869562,0.0,0.3610343003043298,0.0,0.9488299526170593,0.0,0.8576755071074411,1
0,7,right_m-abd_actuator,middle abduction,middle,abduction,no,no,17.156956786379137,0.2820916662355312,0.3585583408495549,1.0,0.560820924845167,0.4759729561784105,0.3661892331237993,1.0,-0.26803130996872077,16
0,8,right_m-mcp_actuator,middle MCP flexion,middle,flexion,yes,no,29.986344664011405,0.37715465189829345,0.31164176290070855,0.8458431183823898,0.5592435729108679,0.47221506265161634,0.8585773358904911,0.27503917853387483,-0.09879161739128217,12
0,9,right_m-pip_actuator,middle PIP flexion,middle,flexion,yes,no,547.5706670058373,0.8882730285738712,0.08500295435882109,0.10116109966309693,0.3939263039829857,0.07836212389864428,0.9488299526170592,0.0433102148447993,0.6984893037590895,3
