index,actuator_name,semantic_role,finger_group,type,included_in_flex11,constant_on_analysis_partition,oa_discriminative_f_raw,oa_discriminative_scaled,oa_within_class_variability_raw,oa_within_class_penalty_scaled,oa_instability_raw,oa_instability_penalty_scaled,oa_redundancy_max_abs_correlation,refinement_sensitivity_penalty,utility_score,utility_rank
0,right_wrist_actuator,wrist,wrist,wrist,no,no,2.4617603801520422,0.0,0.24537959357638703,0.5850519842340911,0.46972548491106236,0.27810753354038337,0.4140405919293583,0.7798521126370214,-0.3809684084515564,17
1,right_p-abd_actuator,little abduction,little,abduction,no,no,47.088489500417964,0.44586170627459343,0.2359033968568167,0.555933463224445,0.6405977416163416,0.683985215034048,0.6775757377248542,0.2824490967017309,0.026077572297684808,9
2,right_p-mcp_actuator,little MCP flexion,little,flexion,yes,no,19.928832270134546,0.3048956683885787,0.2859963195131868,0.7098593328501472,0.6198603282393466,0.6347270532708551,0.5360480581419363,0.2519441654935005,-0.11771340902344468,13
3,right_p-pip_actuator,little PIP flexion,little,flexion,yes,no,165.03529294929737,0.6558340059817569,0.23880560007637788,0.5648513727955421,0.46506472087408546,0.2670366895204554,0.5567552277975653,0.1234791876567691,0.3591786625606302,5
4,right_r-abd_actuator,ring abduction,ring,abduction,no,no,56.12623614112897,0.4750440851720756,0.23163213201074573,0.542808691880133,0.7736382164230566,1.0,0.6775757377248542,0.1886030073047254,0.009415100447605393,10
5,right_r-mcp_actuator,ring MCP flexion,ring,flexion,yes,no,60.01892464389653,0.4862141688127023,0.24218623756351051,0.5752394184016206,0.5935663158556068,0.5722701454658312,0.8541548666186601,0.18675881742518002,0.07181323251255484,8
6,right_r-pip_actuator,ring PIP flexion,ring,flexion,yes,no,1264.6053520019968,1.0,0.054982983393451396,0.0,0.3526437530752452,0.0,0.9398407671993843,0.0,0.8590238849200924,1
7,right_m-abd_actuator,middle abduction,middle,abduction,no,no,19.081009038216802,0.29788846717376916,0.38041835548639363,1.0,0.554059670890373,0.47842889954760465,0.3517173955229821,1.0,-0.25055492206419905,16
8,right_m-mcp_actuator,middle MCP flexion,middle,flexion,yes,no,37.22841701506766,0.4069796265488526,0.3082218453965517,0.7781540782566712,0.5634772094905811,0.500798644093218,0.8541548666186601,0.2470337802650567,-0.0528969188665163,12
9,right_m-pip_actuator,middle PIP flexion,middle,flexion,yes,no,592.6494248152562,0.8717252888613208,0.09620973798116562,0.12668184875717853,0.38574511522066723,0.07862659732433298,0.9398407671993844,0.04566365484663867,0.6765038439002563,3
10,right_i-abd_actuator,index abduction,index,abduction,no,no,38.92254327181035,0.4143272176049873,0.22929397217336003,0.5356239786071151,0.7493201974839403,0.9422367250492185,0.3568525556704803,0.3101059538910315,-0.008069898490861954,11
11,right_i-mcp_actuator,index MCP flexion,index,flexion,yes,no,105.13890430537958,0.5800143749919237,0.2457428667554414,0.5861682525017907,0.48764956269083115,0.3206831000626455,0.7646856565638744,0.1390056582841707,0.23378199462674004,6
12,right_i-pip_actuator,index PIP flexion,index,flexion,yes,no,701.1861729405773,0.9001771753223909,0.08072326212279023,0.07909490158920884,0.4118179536938259,0.14055814451339463,0.7646856565638745,0.03227086457706763,0.7327483428512684,2
13,right_t-cmc_actuator,thumb opposition / CMC,thumb,opposition,yes,no,27.529455623610268,0.35739212535852255,0.29771384994034306,0.7458650391499829,0.6521800639277722,0.711497031268699,0.7032030886363487,0.32780100059197664,-0.12602415406696177,14
14,right_t-abd_actuator,thumb abduction,thumb,abduction,no,no,22.786773384995904,0.32658529362158367,0.317323602841744,0.8061220197458122,0.623500061549593,0.6433726142630419,0.7032030886363487,0.4119141521184958,-0.17088732028070444,15
15,right_t-mcp_actuator,thumb MCP flexion,thumb,flexion,yes,no,183.20602110653405,0.6734318936757178,0.17841866545298687,0.3792939939678193,0.49429595236520674,0.33647045655546604,0.6140025133014132,0.1261300697035706,0.40029441642192215,4
16,right_t-pip_actuator,thumb IP flexion,thumb,flexion,yes,no,111.59178142192278,0.5900151855949681,0.21728869554905714,0.4987340838575232,0.6798425505611143,0.7772045144820551,0.6140025133014132,0.14742158000889088,0.19567714773763067,7
