repeat,seed,k,selected_indices_inner_train,classifier,num_train,num_validation,accuracy,macro_f1,kappa,combined_score
6,48,7,3;6;9;11;12;15;16,knn,18,92,0.7934782608695652,0.7918091432181161,0.752337772740153,0.7923098785135508
6,48,7,3;6;9;11;12;15;16,rf,18,92,0.8260869565217391,0.8230058510578533,0.7916194790486977,0.823930182697019
6,48,7,3;6;9;11;12;15;16,mlp,18,92,0.8369565217391305,0.8358865751107131,0.8045325779036827,0.8362075590992382
6,48,9,1;3;5;6;9;11;12;15;16,svm,18,92,0.8043478260869565,0.8065363329731147,0.7654390934844192,0.8058797809072671
6,48,9,1;3;5;6;9;11;12;15;16,knn,18,92,0.7391304347826086,0.7307783719548425,0.6875176903481461,0.7332839908031723
6,48,9,1;3;5;6;9;11;12;15;16,rf,18,92,0.7934782608695652,0.7905678234900245,0.752478051543472,0.7914409547038868
6,48,9,1;3;5;6;9;11;12;15;16,mlp,18,92,0.8260869565217391,0.8264976958525346,0.7915604644576607,0.826374474053296
6,48,11,1;3;4;5;6;9;10;11;12;15;16,svm,18,92,0.8152173913043478,0.8177458741974869,0.7785329934862645,0.8169873293295451
6,48,11,1;3;4;5;6;9;10;11;12;15;16,knn,18,92,0.75,0.7320914173807496,0.7004530011325029,0.7374639921665247
6,48,11,1;3;4;5;6;9;10;11;12;15;16,rf,18,92,0.8369565217391305,0.8380228806952945,0.8045325779036827,0.8377029730084453
6,48,11,1;3;4;5;6;9;10;11;12;15;16,mlp,18,92,0.8152173913043478,0.8118220594501429,0.7786583639966034,0.8128406590064042
6,48,13,1;2;3;4;5;6;8;9;10;11;12;15;16,svm,18,92,0.75,0.7523184646397431,0.70053778658364,0.75162292524782
6,48,13,1;2;3;4;5;6;8;9;10;11;12;15;16,knn,18,92,0.7065217391304348,0.6820993746396972,0.6484574016416642,0.6894260839869184
6,48,13,1;2;3;4;5;6;8;9;10;11;12;15;16,rf,18,92,0.8152173913043478,0.8141971068695207,0.7784702549575071,0.8145031921999688
6,48,13,1;2;3;4;5;6;8;9;10;11;12;15;16,mlp,18,92,0.8369565217391305,0.8350130897405648,0.8045325779036827,0.8355961193401344
7,49,5,3;6;9;12;15,svm,18,92,0.8043478260869565,0.8040686091089316,0.7655719139297847,0.8041523742023391
7,49,5,3;6;9;12;15,knn,18,92,0.7391304347826086,0.6932951534985197,0.6883116883116882,0.7070457378837464
7,49,5,3;6;9;12;15,rf,18,92,0.8043478260869565,0.7927871066612714,0.7658371040723982,0.7962553224889768
7,49,5,3;6;9;12;15,mlp,18,92,0.782608695652174,0.7669445661659232,0.7398925643200451,0.7716438050117984
7,49,7,3;6;9;11;12;15;16,svm,18,92,0.8369565217391305,0.8323884116304218,0.8048090523338048,0.8337588446630344
7,49,7,3;6;9;11;12;15;16,knn,18,92,0.717391304347826,0.6696959797128463,0.6623376623376623,0.6840045771033403
7,49,7,3;6;9;11;12;15;16,rf,18,92,0.8152173913043478,0.8138974227683904,0.7787835926449788,0.8142934133291776
7,49,7,3;6;9;11;12;15;16,mlp,18,92,0.7934782608695652,0.774311568061568,0.7530375812376378,0.7800615759039671
