k,encoded_features,repeats,combined_mean,combined_std,combined_ci95,combined_standard_error,best_k_by_mean,one_se_threshold,eligible_by_one_se_rule,selected_k
5,80,20,0.79549012839922,0.04887536967676699,0.02197704645307738,0.0112127788025905,7,0.7960004460567185,no,7
7,112,20,0.8087648807204996,0.055638880770849386,0.02501829194101095,0.012764434663781098,7,0.7960004460567185,yes,7
9,144,20,0.8084950843643574,0.050398508865063946,0.022661933358630884,0.011562210897260656,7,0.7960004460567185,yes,7
11,176,20,0.7920602499009193,0.05165134109064865,0.02322527543055133,0.011849630321709862,7,0.7960004460567185,no,7
13,208,20,0.7783360927667846,0.0463009973479778,0.020819467479629514,0.010622177285525261,7,0.7960004460567185,no,7
